customer_code(fk)/customer_name,emp_code/emp_name,Invoice Id,Invoice Date,Invoice amount,Due amount
A010,1100302,IGFX/15923/20-EX,19-08-2019,141780,141780
A010,1100302,IGFX/15879/20-EX,19-08-2019,125100,125100
A010,1100302,IGFX/15882/20-EX,19-08-2019,125100,125100
A010,1100302,IGFX/15893/20-EX,19-08-2019,125100,125100
A010,1100302,IGLE/03586/20-EX,19-08-2019,62550,62550
A010,1100302,IGLE/03571/20-EX,18-08-2019,62550,62550
A010,1100302,IGLE/03584/20-EX,18-08-2019,62550,62550
A010,1100302,IGLE/03585/20-EX,18-08-2019,62550,62550
A010,1100302,IGFX/15766/20-EX,18-08-2019,141780,141780
A010,1100302,IGFX/15767/20-EX,18-08-2019,133440,133440
A010,1100302,IGFX/15804/20-EX,18-08-2019,141780,141780
A010,1100302,IGFX/15825/20-EX,18-08-2019,125100,125100
A010,1100302,IGFX/15864/20-EX,18-08-2019,125100,125100
A010,1100302,IGFX/15848/20-EX,18-08-2019,58380,58380
A010,1100302,IGFX/15847/20-EX,18-08-2019,83400,83400
A010,1100302,IGFX/15795/20-EX,18-08-2019,141780,141780
A010,1100302,IGLE/03573/20-EX,18-08-2019,62550,62550
A010,1100302,IGFX/15615/20-EX,17-08-2019,125100,125100
A010,1100302,IGFX/15616/20-EX,17-08-2019,125100,125100
A010,1100302,IGFX/15650/20-EX,17-08-2019,125100,125100
A010,1100302,IGFX/15651/20-EX,17-08-2019,41700,41700
A010,1100302,IGLE/03553/20-EX,17-08-2019,62550,62550
A010,1100302,IGLE/03554/20-EX,17-08-2019,62550,62550
A010,1100302,IGLE/03549/20-EX,16-08-2019,62550,62550
A010,1100302,IGLE/03550/20-EX,16-08-2019,62550,62550
A010,1100302,IGFX/15436/20-EX,15-08-2019,150120,150120
A010,1100302,IGFX/15519/20-EX,15-08-2019,100080,100080
A010,1100302,IGFX/15520/20-EX,15-08-2019,25020,25020
A010,1100302,IGFX/15466/20-EX,15-08-2019,125100,125100
A010,1100302,IGFX/15446/20-EX,15-08-2019,125100,125100
A010,1100302,IGFX/15445/20-EX,15-08-2019,125100,125100
A010,1100302,IGLE/03545/20-EX,14-08-2019,62550,62550
A010,1100302,IGLE/03535/20-EX,13-08-2019,62550,62550
A010,1100302,IGLE/03528/20-EX,11-08-2019,62550,62550
