Customer Code,Product Desc,April,April Achv.,April prev year,April prev year Achv.,May,May Achv.,May prev year,May prev year Achv.,June,June Achv.,June prev year,June prev year Achv.,July,July Achv.,July prev year,July prev year Achv.,August,August Achv.,August prev year,August prev year Achv.,September,September Achv.,September prev year,September prev year Achv.,October,October Achv new,October  prev year,October prev year Achv.,November,November Achv.,November  prev year,November prev year Achv.,December,December Achv.,December  prev year,December prev year Achv.,January,January Achv.,January  prev year,January prev year Achv.,February,February Achv.,February  prev year,February prev year Achv.,March,March Achv.,March prev year,March prev year Achv.
A010,F000000001,2000,2673.5,1500,1525,2000,2423,1700,1642.5,1300,1447.5,1600,892.5,1300,1849.9,0,1301,1300,1418.8,1150,1072.5,1300,1509.15,1050,981,1300,1662.8,1200,1230.5,1700,0,1250,1488.5,1850,0,1200,1705,2200,0,1150,2150.5,2200,0,1500,2211.5,2500,0,1600,2807.3
NEA033,F000000001,60,35.5,0,57,60,47,0,39,50,21,0,32,50,29.5,0,23.5,50,20,0,50,50,12,0,7,50,32,0,7,60,0,0,37,60,0,0,18.5,70,0,0,35,60,0,0,34,70,0,0,60
NEA103,F000000001,150,132,0,90,150,146,0,90,120,119.4,0,104.5,120,104.75,0,105,120,149.7,0,120,120,104.9,0,105,120,90,0,105,150,0,0,128,120,0,0,152,150,0,0,144,150,0,0,218,150,0,0,225
A200,F000000001,400,532,0,390,400,725.85,0,343,380,416.8,0,285,380,520.3,0,373,380,449.3,0,420,380,496.2,0,300,380,449.8,0,382,400,0,0,340,450,0,0,447.5,480,0,0,497,450,0,0,507,600,0,0,723.9
NEB094,F000000001,120,94.25,0,138.5,120,162.55,0,87,100,107.5,0,59.5,100,130.05,0,96.5,100,173,0,120,110,96.3,0,70,110,132,0,75,100,0,0,125,150,0,0,108.5,150,0,0,115,135,0,0,120,100,0,0,178.5
B054,F000000001,230,248,0,207,230,349.5,0,165,200,183.3,0,188.5,200,261.65,0,239,200,224.85,0,244,200,189,0,182.5,200,123,0,239,250,0,0,230.5,250,0,0,209,300,0,0,300,300,0,0,284,320,0,0,353.5
B201,F000000001,20,77.5,0,60,20,75,0,110,20,89.95,0,75,25,90,0,90,25,104.8,0,0,45,59.95,0,0,45,55.5,0,0,50,0,0,0,50,0,0,0,50,0,0,40,50,0,0,40,100,0,0,63
NEB026,F000000001,300,289.5,0,305.5,300,245.5,0,257.5,250,155,0,150,225,220,0,207,225,193,0,158.5,225,174.5,0,93,225,138.5,0,209.5,275,0,0,257,350,0,0,283,350,0,0,221.5,350,0,0,205.5,400,0,0,351.5
B103,F000000001,75,45,0,57.5,75,45,0,45,60,33,0,22.5,60,39,0,46,60,39,0,54.5,60,51,0,17.5,60,54,0,46.5,75,0,0,57,75,0,0,69,80,0,0,48,75,0,0,54,80,0,0,66
B110,F000000001,85,55.5,0,176.5,85,58.25,0,135,65,74,0,120.6,65,44.75,0,127,65,58.5,0,107.75,65,40,0,50.75,65,60.5,0,0,85,0,0,0,85,0,0,28.75,100,0,0,60.45,100,0,0,51.75,125,0,0,13.75
NEC004,F000000001,500,766.5,0,331.5,500,584.5,0,282,400,501,0,124.5,375,719.3,0,209.25,375,634.05,0,301.5,375,533.5,0,223.5,375,800,0,266,400,0,0,303.5,525,0,0,500.75,575,0,0,602.5,525,0,0,665,600,0,0,1020.75
NEC003,F000000001,75,108,0,105,75,105,0,105,75,59.35,0,45,75,75.65,0,60,75,74.9,0,45,75,71.75,0,45,75,82,0,60,75,0,0,60,75,0,0,82,105,0,0,110,105,0,0,105,135,0,0,84.7
C035,F000000001,130,147,0,107.7,130,153.4,0,128,100,55.5,0,87,100,137.5,0,106.25,100,85.5,0,100,100,128,0,30,100,70,0,0,120,0,0,0,130,0,0,73,150,0,0,114,135,0,0,131,200,0,0,211
NED071,F000000001,60,30,0,35,60,55,0,34,50,20,0,32.5,50,45,0,50.5,50,35,0,50,50,30,0,37.5,50,45,0,73.5,60,0,0,50,70,0,0,64,70,0,0,35,70,0,0,60,70,0,0,74.5
D006,F000000001,75,0,0,38.5,75,137.5,0,0,60,-0.15,0,60,60,-0.1,0,0,60,5,0,100,60,38.5,0,53,60,0,0,30,75,0,0,65,75,0,0,40,80,0,0,45,75,0,0,35,80,0,0,109.7
D133,F000000001,30,6,0,30,30,55.5,0,15,30,36.5,0,0,30,0,0,30,30,14,0,60,30,0,0,15,30,0,0,30,45,0,0,30,45,0,0,19.5,45,0,0,30,45,0,0,44.5,45,0,0,45.45
D085,F000000001,250,198.5,0,340.3,250,205.5,0,276.75,200,113.5,0,257.5,175,171,0,286,175,131.25,0,238,175,127,0,77.5,175,119.5,0,174.5,200,0,0,160.5,275,0,0,220.5,320,0,0,143,315,0,0,141.5,350,0,0,160
NED067,F000000001,60,21.5,0,35,60,26,0,57.5,50,32.45,0,45.5,60,19,0,15,60,16.5,0,22.5,60,6.5,0,29,60,0,0,33.5,75,0,0,27.5,75,0,0,61.5,75,0,0,30,75,0,0,34,90,0,0,36.5
NED022,F000000001,30,8.5,0,5,30,5,0,22,30,12,0,15,30,5,0,35,30,20,0,5,30,20,0,3.5,30,21.5,0,11,30,0,0,14.5,30,0,0,19,35,0,0,31,35,0,0,19.5,35,0,0,40.5
E003,F000000001,30,5,0,5,30,0,0,21,30,0,0,5,30,18,0,0,30,18,0,0,30,0,0,0,30,21.5,0,0,30,0,0,26,30,0,0,32,35,0,0,12,30,0,0,24.5,35,0,0,35
E018,F000000001,30,36,0,27,30,32.5,0,10,25,16,0,5,25,41,0,0,25,17,0,32,25,24.5,0,0,25,26,0,19,30,0,0,0,30,0,0,0,35,0,0,7,35,0,0,24,35,0,0,19
G056,F000000001,35,28.5,0,33,35,31.5,0,30,35,12,0,18,35,12,0,18,35,24,0,18,35,26,0,10.5,35,24,0,23,40,0,0,16.5,35,0,0,11,40,0,0,71.5,40,0,0,30,40,0,0,61.5
G051,F000000001,30,15,0,28.5,30,15,0,50,30,7,0,10,30,13.5,0,7,30,10,0,17,30,25,0,21,30,31.5,0,32.5,30,0,0,28.5,30,0,0,37,40,0,0,13.5,30,0,0,38.5,40,0,0,15
NEG007,F000000001,30,0,0,0,30,15,0,45,30,15,0,30,45,15,0,0,45,15,0,30,45,15,0,15,45,0,0,35,45,0,0,30,45,0,0,25,45,0,0,60.5,45,0,0,82,45,0,0,36.35
I015,F000000001,30,52,0,17.5,30,45.5,0,17.5,30,27,0,14,30,45.5,0,3.5,30,34.5,0,29.5,30,21,0,15,30,3.5,0,24,30,0,0,7,30,0,0,0,35,0,0,32,35,0,0,75,35,0,0,71.5
J033,F000000001,120,352,0,57,120,308,0,105,90,163.35,0,45,105,208.15,0,75,105,237.65,0,75,105,163.8,0,120,105,240,0,105,180,0,0,150,200,0,0,176,220,0,0,197,220,0,0,244,250,0,0,290.15
J043,F000000001,150,161,0,75,150,107,0,105.5,100,108.1,0,71,100,104.9,0,148,100,103.7,0,157,100,112.5,0,31.5,100,105,0,105.5,125,0,0,106.5,150,0,0,89,165,0,0,113.5,120,0,0,114.5,150,0,0,170
NEJ040,F000000001,50,18,0,45,50,45,0,30,30,14.95,0,15,45,45,0,24,45,15,0,30,45,30,0,30,45,45,0,30,45,0,0,45,45,0,0,31.5,45,0,0,60,45,0,0,60,60,0,0,59.95
K008,F000000001,90,23,0,58,90,111.5,0,16,90,154.5,0,50,90,36,0,54,90,0,0,86,90,0,0,8.5,90,0,0,28,90,0,0,84,115,0,0,49,150,0,0,78,120,0,0,108,150,0,0,117
K010,F000000001,50,37.5,0,43,50,28,0,25.5,40,37.5,0,26.5,40,51.5,0,23,40,31,0,34.5,40,31,0,24.5,40,36.5,0,28,50,0,0,22.5,50,0,0,17.5,60,0,0,29.5,60,0,0,43.5,80,0,0,30.5
K109,F000000001,175,117.5,0,129,175,136.5,0,81,125,81,0,58.5,120,120,0,122,120,107.5,0,119.5,120,132.4,0,77.5,120,99,0,117.8,180,0,0,173,180,0,0,176.8,200,0,0,169.8,200,0,0,189,200,0,0,189.5
K046,F000000001,30,30,0,60,30,54,0,18,30,18,0,6,30,60,0,6,30,30,0,18,30,30,0,42,30,30,0,11,30,0,0,6,30,0,0,18,40,0,0,24,30,0,0,48,40,0,0,66
K055,F000000001,450,502,0,301,450,553,0,253,350,388.2,0,175,325,481.75,0,232.75,325,378.5,0,250.75,325,457.25,0,212.75,325,332.5,0,307.5,385,0,0,341,425,0,0,401.75,500,0,0,420.75,500,0,0,610.25,525,0,0,721.5
M220,F000000001,90,64,0,80,90,41.5,0,95,90,45,0,45,90,76.5,0,105,90,86,0,75,90,15,0,65,90,30,0,60,110,0,0,84,120,0,0,93,130,0,0,94,120,0,0,100,150,0,0,142.2
N001,F000000001,30,3,0,38,30,15,0,27,20,11.5,0,3,20,3,0,3,20,6,0,15,20,0,0,15,20,15,0,15,30,0,0,3,30,0,0,6,30,0,0,0,30,0,0,0,30,0,0,6
N019,F000000001,650,845.5,550,585,650,954.2,600,574,500,687.75,550,321,500,756.45,0,492,500,721.45,450,529,500,716.4,400,369,500,623.5,450,562,600,0,480,505,700,0,465,731,750,0,450,717.5,750,0,550,724.5,750,0,600,999.9
P097,F000000001,50,53,0,68,50,57,0,40,50,46,0,21,50,37,0,21,50,26,0,20.5,50,31.5,0,18,50,32.5,0,24.5,50,0,0,27,50,0,0,78.5,60,0,0,67,50,0,0,62,60,0,0,87.5
P058,F000000001,20,0,0,65,20,30,0,41,20,15,0,30,20,15,0,0,20,0,0,0,20,45,0,0,20,59,0,0,15,0,0,0,15,0,0,0,30,0,0,17,30,0,0,50,40,0,0,30
NEP100,F000000001,140,250,0,54.5,140,262.85,0,89,100,148.6,0,53.5,100,194.8,0,81,100,135,0,118.5,100,135,0,130,100,145.5,0,125.5,140,0,0,135.5,170,0,0,146.5,200,0,0,147,200,0,0,206.5,200,0,0,299.3
P134,F000000001,150,47,0,40,150,55,0,40,100,34.55,0,0,120,-0.2,0,37.5,120,39.5,0,30,120,48,0,72.5,120,59.5,0,80,160,0,0,111.5,170,0,0,110,200,0,0,73,200,0,0,53,200,0,0,53.95
NER084,F000000001,460,546.5,0,370,460,595.95,0,334,400,451.1,0,240,420,397.9,0,417,420,390,0,339,420,355,0,275,420,575,0,377,400,0,0,473,400,0,0,513,450,0,0,577.5,450,0,0,624,550,0,0,680.85
R013,F000000001,200,252,0,143.5,200,270,0,150,180,224,0,120,200,254.95,0,138,200,255,0,135,180,194.95,0,165,180,210,0,165,215,0,0,190,225,0,0,238,240,0,0,247,240,0,0,265,270,0,0,323.5
NER088,F000000001,100,69,0,50,100,96,0,76.5,80,42,0,65,80,66,0,72,80,66,0,57,80,45.5,0,51.5,80,18.5,0,86.5,100,0,0,82.5,100,0,0,126.3,120,0,0,121.5,100,0,0,107.2,120,0,0,113.5
S351,F000000001,350,347,0,310,350,325,0,365,200,314.5,0,135,220,296,0,148,220,316.55,0,157,220,312.65,0,183.5,220,240,0,247,280,0,0,231,300,0,0,283,380,0,0,303,350,0,0,266,400,0,0,345.05
S434,F000000001,270,240,0,270,270,271,0,233,160,204.4,0,119,170,227.5,0,202,170,255,0,182.5,170,296,0,168,170,232,0,159,190,0,0,183,200,0,0,164,200,0,0,166,200,0,0,220,250,0,0,287
S014,F000000001,30,15,0,15,30,30,0,30,30,29.95,0,30,30,45.5,0,15,30,45,0,30,30,25.35,0,15,30,34,0,15,30,0,0,38,40,0,0,28,40,0,0,15,40,0,0,40,45,0,0,35
