order_number,order_date,destination_name,order_quantity,invoice_number,invoice_date,invoice_quantity,product_description,allocated_quantity,remaining_quantity
SS0740915,"22nd September, 2025, 3:00 PM",GOALPOKHOR,15.00,F23800051896,23-09-2025,15.00,"STAR CEMENT PPC (ADSTAR) TRADE",12.50,2.50
SS0727654,"27th August, 2025, 2:27 PM",GOALPOKHOR,25.00,F23800046235,28-08-2025,25.00,"STAR CEMENT PPC (ADSTAR) TRADE",10.00,15.00
SS0721822,"20th August, 2025, 10:45 AM",GOALPOKHOR,30.00,F23800045102,25-08-2025,10.00,"STAR CEMENT PPC (ADSTAR) TRADE",5.00,5.00
SS0718440,"14th August, 2025, 5:39 PM",SOLPARA,25.00,F23800042488,15-08-2025,25.00,"STAR CEMENT PPC (ADSTAR) TRADE",15.00,10.00
ST0715947,"11th August, 2025, 12:30 PM",GOALPOKHOR,12.50,F23800041430,11-08-2025,10.80,"STAR WEATHER SHIELD (TRADE)",3.30,7.50
ST0715942,"11th August, 2025, 12:21 PM",GOALPOKHOR,10.00,F23800041477,11-08-2025,10.00,"STAR CEMENT PPC (ADSTAR) TRADE",5.00,5.00
SS0710323,"1st August, 2025, 12:39 PM",SOLPARA,25.00,F23800039595,01-08-2025,25.00,"STAR CEMENT PPC (ADSTAR) TRADE",10.00,15.00
SS0695032,"10th July, 2025, 11:00 AM",GOALPOKHOR,20.00,F23800033421,10-07-2025,10.00,"STAR WEATHER SHIELD (TRADE)",4.00,6.00
SS0673106,"11th June, 2025, 1:06 PM",GOALPOKHOR,10.00,F23800024480,13-06-2025,10.00,"STAR CEMENT PPC (ADSTAR) TRADE",5.00,5.00
SS0672956,"11th June, 2025, 10:45 AM",GOALPOKHOR,10.00,F23800024394,13-06-2025,10.00,"STAR CEMENT PPC (ADSTAR) TRADE",2.50,7.50
SS0672958,"11th June, 2025, 10:45 AM",GOALPOKHOR,10.00,F23800023698,11-06-2025,10.00,"STAR WEATHER SHIELD (TRADE)",5.50,4.50
SS0672960,"11th June, 2025, 10:45 AM",GOALPOKHOR,30.00,F23800023753,11-06-2025,12.50,"STAR CEMENT PPC (ADSTAR) TRADE",5.00,7.50
SS0669028,"4th June, 2025, 5:15 PM",GOALPOKHOR,10.00,F23800021640,04-06-2025,10.00,"STAR WEATHER SHIELD (TRADE)",5.00,5.00
SS0663495,"26th May, 2025, 6:45 PM",GOALPOKHOR,20.00,F23800018860,27-05-2025,8.00,"STAR CEMENT PPC (ADSTAR) TRADE",0.50,7.50
SS0652166,"12th May, 2025, 11:36 AM",GOALPOKHOR,10.00,F23800013818,12-05-2025,10.00,"STAR WEATHER SHIELD (TRADE)",6.00,4.00
SS0650525,"9th May, 2025, 3:36 PM",GOALPOKHOR,8.00,F23800013128,09-05-2025,8.00,"STAR CEMENT PPC (ADSTAR) TRADE",3.00,5.00
SS0648469,"7th May, 2025, 11:36 AM",GOALPOKHOR,20.00,F23800012634,08-05-2025,10.00,"STAR CEMENT PPC (ADSTAR) TRADE",2.50,7.50
SS0645048,"2nd May, 2025, 4:24 PM",GOALPOKHOR,20.00,F23800010527,02-05-2025,10.00,"STAR CEMENT PPC (ADSTAR) TRADE",5.00,5.00
SS0622658,"3rd April, 2025, 11:45 AM",GOALPOKHOR,10.00,F23800000809,03-04-2025,10.00,"STAR CEMENT PPC (ADSTAR) TRADE",2.50,7.50
SS0620112,"29th March, 2025, 2:24 PM",GOALPOKHOR,24.00,F23800102317,29-03-2025,12.00,"STAR DHALAI MASTER TRADE",8.00,4.00
SS0537577,"23rd December, 2024, 11:15 AM",GOALPOKHOR,20.00,F23800069064,23-12-2024,10.00,"STAR CEMENT PPC (ADSTAR) TRADE",9.00,1.00
SS0526586,"7th December, 2024, 11:33 AM",GOALPOKHOR,25.00,F23800064863,08-12-2024,25.00,"STAR CEMENT PPC (ADSTAR) TRADE",20.00,5.00
SS0503955,"2nd November, 2024, 11:18 AM",GOALPOKHOR,50.00,F23800059043,10-11-2024,25.00,"STAR CEMENT PPC (ADSTAR) TRADE",20.00,5.00
