"Customer Code","Customer Name","Broker Code","Broker Name","App Contract No","App Contract Date","Contract Valid From","Contract Valid To","Material Code","Material Qty(case)","Material Qty(MT)","UOM (case)","Product Group","Material Description","Depot Code","Depot Name",State,"Material Cost",Freight,"Packing Cost","Depot Cost","Margin Cost","Basic Rate",Freight,Tax,TD,Premium,CM-TD,"Total Value",Incoterms,"Employee Name","Payment Due On","CM-Credit Limit",Remarks,Vertical
106952,"Vishnu Marketi",,,FTE007220160817193500,17.08.2016,17.08.2016,07.09.2016,400000413,15,0.225,Case,"All Purpose","HBM - Y13",BC20,Hubli-Depot,Karnataka,0,0,0,0,0,940.24,0,,10,0,0,13953.6,Exw,Rajeev.H.Kulkarni,01.09.2016,,,"Specialty Fats"
106952,"Vishnu Marketi",,,FTE007220160817193500,17.08.2016,17.08.2016,07.09.2016,400000354,50,0.750,Case,"Biscuits & Cookies","HBM - G13",BC20,Hubli-Depot,Karnataka,0,0,0,0,0,998.2,0,,10,0,0,49410,Exw,Rajeev.H.Kulkarni,01.09.2016,,,"Specialty Fats"
103745,"Vanigota Sugar Trading Company",,,FTE006020160817192755,17.08.2016,17.08.2016,07.09.2016,400000354,200,2.999,Case,"Biscuits & Cookies","HBM - G13",BC74,Raichur-Depot,Karnataka,0,0,0,0,0,991.4,7,,0,0,0,199680,FOR,"R.Mohan Kumar",01.09.2016,,,"Specialty Fats"
104586,"TVL. Rohini Foods",,,FTE006020160817174128,17.08.2016,17.08.2016,07.09.2016,400000427,50,0.675,Case,"Cakes & Creams (Aer)","HBM Gold - PG01",BC21,Chennai-Depot,Tamilnadu,0,0,0,0,0,1055.02,0,,0,0,0,52751,Exw,"R.Mohan Kumar",01.09.2016,,,"Specialty Fats"
104812,"Mahalaxmi Banijya Pratisthan",,,FTE003320160817191129,17.08.2016,17.08.2016,16.09.2016,400000151,1000,15.003,Case,Palm,"Palm 15 kg Tin",BC28,"Cuttack-Depot (Haldia)",Odisha,945.19,23.408,82,1.5,0,1052.1,0.01,,0.11,0,0,1052000,FOR,"Surajit Kumar Sahu",01.09.2016,,,HBC&Rasoi&BIB
105490,"Ganeshlal Modi",,,FTE003320160817191634,17.08.2016,17.08.2016,16.09.2016,400000151,420,6.301,Case,Palm,"Palm 15 kg Tin",BC28,"Cuttack-Depot (Haldia)",Odisha,945.19,23.408,82,1.5,0,1052.1,0.01,,4.48,0,0,440004.6,FOR,"Surajit Kumar Sahu",01.09.2016,,,HBC&Rasoi&BIB
105490,"Ganeshlal Modi",,,FTE003320160817191839,17.08.2016,17.08.2016,16.09.2016,400000128,850,7.650,Case,Palm,"Palm 500 ml Pouch",BC28,"Cuttack-Depot (Haldia)",Odisha,567,13.7694117647,48,0.9,0,629.67,0.01,,2.61,0,0,533009.5,FOR,"Surajit Kumar Sahu",01.09.2016,,,HBC&Rasoi&BIB
100701,"Bharat Trading Co.",,,FTE003320160817192138,17.08.2016,17.08.2016,16.09.2016,400000141,1450,13.050,Case,Palm,"Palm 1 ltr Pouch (10pc)",BC37,"Sambalpur-Depot (Haldia)",Odisha,567,12.9823529412,38,0.9,0,618.88,0.01,,0,4.41,0,903785,FOR,"Surajit Kumar Sahu",01.09.2016,,,HBC&Rasoi&BIB
100701,"Bharat Trading Co.",,,FTE003320160817192448,17.08.2016,17.08.2016,16.09.2016,400000128,1450,13.050,Case,Palm,"Palm 500 ml Pouch",BC37,"Sambalpur-Depot (Haldia)",Odisha,567,12.9823529412,48,0.9,0,628.88,0.01,,0,3.84,0,917458.5,FOR,"Surajit Kumar Sahu",01.09.2016,,,HBC&Rasoi&BIB
104813,"Pankaj Store",,,FTE003320160817192823,17.08.2016,17.08.2016,16.09.2016,400000151,500,7.502,Case,Palm,"Palm 15 kg Tin",BC37,"Sambalpur-Depot (Haldia)",Odisha,945.19,22.07,82,1.5,0,1050.76,0.01,,0,2.51,0,526640,FOR,"Surajit Kumar Sahu",01.09.2016,,,HBC&Rasoi&BIB
