Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit
,S0685,Haldi   Powder-1KG,Spices,,,0,Y,N,SP,Bundle,Kg,2,1000,Canvas Bag,24,0,,,gm
,S0686,Haldi   Powder-500GM,Spices,,,0,Y,N,SP,Bundle,Kg,4,500,Canvas Bag,24,0,,,gm
,S0687,Haldi   Powder-200GM,Spices,,,0,Y,N,SP,Bundle,Kg,5,200,Canvas Bag,24,0,,,gm
,S0122,Haldi   Powder-100GM,Spices,,,0,Y,N,SP,Bundle,Kg,10,100,Canvas Bag,24,0,,,gm
,S0124,Haldi   Powder-50GM,Spices,,,0,Y,N,SP,Bundle,Kg,20,50,Canvas Bag,24,0,,,gm
,S0676,Dhania Powder-1KG,Spices,,,0,Y,N,SP,Bundle,Kg,2,1000,Canvas Bag,24,0,,,gm
,S0677,Dhania Powder-500GM,Spices,,,0,Y,N,SP,Bundle,Kg,4,500,Canvas Bag,24,0,,,gm
,S0678,Dhania Powder-200GM,Spices,,,0,Y,N,SP,Bundle,Kg,5,200,Canvas Bag,24,0,,,gm
,S0108,Dhania Powder-100GM,Spices,,,0,Y,N,SP,Bundle,Kg,10,100,Canvas Bag,24,0,,,gm
,S0110,Dhania Powder-50GM,Spices,,,0,Y,N,SP,Bundle,Kg,20,50,Canvas Bag,24,0,,,gm
,S0681,Mircha Powder-1KG,Spices,,,0,Y,N,SP,Bundle,Kg,2,1000,Canvas Bag,24,0,,,gm
,S0680,Mircha Powder-500GM,Spices,,,0,Y,N,SP,Bundle,Kg,4,500,Canvas Bag,24,0,,,gm
,S0679,Mircha Powder-200GM,Spices,,,0,Y,N,SP,Bundle,Kg,5,200,Canvas Bag,24,0,,,gm
,S0132,Mircha Powder-100GM,Spices,,,0,Y,N,SP,Bundle,Kg,10,100,Canvas Bag,24,0,,,gm
,S0135,Mircha Powder-50GM,Spices,,,0,Y,N,SP,Bundle,Kg,20,50,Canvas Bag,24,0,,,gm
,S0682,Teza Mircha  Powder-1KG,Spices,,,0,Y,N,SP,Bundle,Kg,2,1000,Canvas Bag,24,0,,,gm
,S0683,Teza Mircha  Powder-500GM,Spices,,,0,Y,N,SP,Bundle,Kg,4,500,Canvas Bag,24,0,,,gm
,S0684,Teza Mircha  Powder-200GM,Spices,,,0,Y,N,SP,Bundle,Kg,5,200,Canvas Bag,24,0,,,gm
,S0137,Teza Mircha  Powder-100GM,Spices,,,0,Y,N,SP,Bundle,Kg,10,100,Canvas Bag,24,0,,,gm
,S0139,Teza Mircha  Powder-50GM,Spices,,,0,Y,N,SP,Bundle,Kg,20,50,Canvas Bag,24,0,,,gm
,S0691,Amchoor  Powder-1KG,Spices,,,0,Y,N,SP,Bundle,Kg,2,1000,Canvas Bag,24,0,,,gm
,S0692,Amchoor  Powder-500GM,Spices,,,0,Y,N,SP,Bundle,Kg,4,500,Canvas Bag,24,0,,,gm
,S0693,Amchoor  Powder-200GM,Spices,,,0,Y,N,SP,Bundle,Kg,5,200,Canvas Bag,24,0,,,gm
,H0047,Heeng-8GM,Spices,,,0,Y,N,SP,Bundle,Kg,10,8,Carton,40,0,,,gm
,H0051,Heeng-15GM,Spices,,,0,Y,N,SP,Bundle,Kg,10,15,Carton,20,0,,,gm
,H0081,Heeng-50GM,Spices,,,0,Y,N,SP,Bundle,Kg,6,50,Carton,15,0,,,gm
,H0033,Heeng-100GM,Spices,,,0,Y,N,SP,Bundle,Kg,6,100,Carton,8,0,,,gm
,S0071,Amchur Powder-50GM,Spices,,,0,Y,N,SP,Bundle,Kg,20,50,Carton,10,0,,,gm
