Depot code,Route,Freight,acedns,date,Transport mode,Capacity,State code
1000D,"Narkatiaganj",46240,Y,24/08/2018,Truck,16,BR
4000D,"Jedimetla",28000,Y,21/08/2018,Truck,16,TG
4000D,"Katedan",27800,Y,21/08/2018,Truck,16,TG
4000D,"Samseergunj",28000,Y,21/08/2018,Truck,16,TG
4000D,"R.C.Puram",29000,Y,21/08/2018,Truck,16,TG
4000D,"MALEKPET",25500,Y,21/08/2018,Truck,16,TG
4000D,"Nagpur",48000,Y,21/08/2018,Truck,21,MH
1000D,"Kushinagar",44800,Y,20/08/2018,Truck,16,UPE
1000D,"Rajapur",60800,Y,20/08/2018,Truck,16,MH
4000D,"Narsipatnam",26241,Y,20/08/2018,Truck,16,AP
1000D,"Raigad",62400,Y,20/08/2018,Truck,16,MH
9405,"Gajrolla",6500,Y,18/08/2018,Truck,9,UPW
4000D,"Yavatmal",41500,Y,17/08/2018,Truck,16,MH
1000D,"Chanditala",8000,Y,15/08/2018,Truck,7.5,WB
1000D,"Borehat",10120,Y,15/08/2018,Truck,7.5,WB
1000D,"Nalhati",10350,Y,15/08/2018,Truck,7.5,WB
1000D,"Diamond Harbour",10000,Y,15/08/2018,Truck,7.5,WB
1000D,"Bhangore",10500,Y,15/08/2018,Truck,7.5,WB
1000D,"Raipur",8906,Y,15/08/2018,Truck,7.5,WB
1000D,"Dharampur",10000,Y,15/08/2018,Truck,7.5,WB
1000D,"Beldanga",11500,Y,15/08/2018,Truck,7.5,WB
1000D,"Batanagar",10500,Y,15/08/2018,Truck,7.5,WB
1000D,"Majdia",10925,Y,15/08/2018,Truck,7.5,WB
1000D,"Janai Road Station",8000,Y,15/08/2018,Truck,7.5,WB
1000D,"Purba Mednipur",6500,Y,15/08/2018,Truck,7.5,WB
1000D,"Keranitola",7400,Y,15/08/2018,Truck,7.5,WB
1000D,"Kamarkundu",8000,Y,15/08/2018,Truck,7.5,WB
1000D,"Jangipur",11500,Y,15/08/2018,Truck,7.5,WB
1000D,"Khargram",12000,Y,15/08/2018,Truck,7.5,WB
1000D,"Karimpur",10925,Y,15/08/2018,Truck,7.5,WB
1000D,"Strand Road",8200,Y,15/08/2018,Truck,7.5,WB
1000D,"Berachampa",10000,Y,15/08/2018,Truck,7.5,WB
1000D,"Plassey",10925,Y,15/08/2018,Truck,7.5,WB
1000D,"Kandi",12000,Y,15/08/2018,Truck,7.5,WB
1000D,"Domkol",12000,Y,15/08/2018,Truck,7.5,WB
1000D,"Katwa",8625,Y,15/08/2018,Truck,7.5,WB
1000D,"Khagra",12000,Y,15/08/2018,Truck,7.5,WB
1000D,"North Bawali",10500,Y,15/08/2018,Truck,7.5,WB
1000D,"Aurangabad (WB)",12000,Y,15/08/2018,Truck,7.5,WB
1000D,"Nasaratpur",9125,Y,15/08/2018,Truck,7.5,WB
4000D,"Vizianagram",34000,Y,14/08/2018,Truck,16,AP
4000D,"Chandrapur",57000,Y,14/08/2018,Truck,21,MH
1000D,"Chakdaha",9600,Y,14/08/2018,Truck,7.5,WB
1000D,"Duttapuliya",9200,Y,14/08/2018,Truck,7.5,WB
4000D,"GADCHIROLI",45000,Y,14/08/2018,Truck,16,MH
4000D,"Wadsa",48600,Y,14/08/2018,Truck,16,MH
1000D,"Ranaghat",9200,Y,14/08/2018,Truck,7.5,WB
4000D,"Ankapalle",29746,Y,10/08/2018,Truck,16,AP
1000D,"Malda",12422,Y,10/08/2018,Truck,7.5,WB
4000D,"Aurangabad (MH)",39000,Y,09/08/2018,Truck,16,MH
4000D,"GULLABAGH",24000,Y,09/08/2018,Truck,16,BR
9116,"Agartala",40000,Y,09/08/2018,Truck,20,TR
4000D,"Bhubaneswar",54000,Y,09/08/2018,Truck,21,OR
4000D,"Malegaon",49000,Y,09/08/2018,Truck,21,MH
4000D,"Chennai",12600,Y,09/08/2018,Truck,16,TN
1000D,"Bishnupur",8672,Y,09/08/2018,Truck,7.5,WB
4000D,"Kurla",57420,Y,09/08/2018,Truck,21,MH
4000D,"Vissannapet",24000,Y,09/08/2018,Truck,16,AP
4000D,"Begumbazar",22500,Y,09/08/2018,Truck,16,TG
4000D,"Cuttack",64000,Y,09/08/2018,Truck,25,OR
4000D,"Manchirial",27407,Y,09/08/2018,Truck,16,TG
4000D,"Kolkata",84000,Y,09/08/2018,Truck,21,WB
4000D,"Jagtiyal",27000,Y,09/08/2018,Truck,16,TG
4000D,"Nandigana",17640,Y,09/08/2018,Truck,16,AP
1000D,"Purnia",32960,Y,08/08/2018,Truck,16,BR
1000D,"Chitrakut",37920,Y,08/08/2018,Truck,16,UPE
4000D,"Adone",15800,Y,08/08/2018,Truck,10,AP
4000D,"Guntur",9500,Y,08/08/2018,Truck,10,AP
4000D,"Vijayawada",12000,Y,08/08/2018,Truck,10,AP
4000D,"Machilipatnam",19300,Y,08/08/2018,Truck,16,AP
1000D,"MANDLA",43600,Y,08/08/2018,Truck,16,MP
1000D,"Jaora",52496,Y,08/08/2018,Truck,16,MP
1000D,"Saiyadraja",31360,Y,08/08/2018,Truck,16,UPE
4000D,"Kurnool",15800,Y,08/08/2018,Truck,10,AP
4000D,"Chilakaluru",10890,Y,08/08/2018,Truck,10,AP
4000D,"Madurai",33000,Y,08/08/2018,Truck,16,TN
5000D,"Gwalior",80220,Y,08/08/2018,Truck,21,MP
1000D,"Tumsar(Bhandara)",34544,Y,08/08/2018,Truck,16,MH
1000D,"Gulburga",54400,Y,08/08/2018,Truck,16,KA
1000D,"Ballia",37920,Y,08/08/2018,Truck,16,UPE
4000D,"Ahmednagar",35640,Y,08/08/2018,Truck,16,MH
4000D,"Vijaywada",19500,Y,08/08/2018,Truck,16,AP
4000D,"Hyderabad",22500,Y,08/08/2018,Truck,16,TG
4000D,"Solpur",34300,Y,08/08/2018,Truck,16,MH
1000D,"KANNAUJ",43520,Y,08/08/2018,Truck,16,UPE
1000D,"KHAMGAON",44544,Y,08/08/2018,Truck,16,MH
1000D,"Sharanpaur",46080,Y,08/08/2018,Truck,16,UPW
4000D,"Solapur",34300,Y,08/08/2018,Truck,16,MH
4000D,"Rajapur",63270,Y,08/08/2018,Truck,21,MH
4000D,"Bijapur",24000,Y,08/08/2018,Truck,10,KA
4000D,"Thirupati",13000,Y,08/08/2018,Truck,16,AP
1000D,"ROHTAS",45000,Y,08/08/2018,Truck,20,BR
1000D,"Tumsar",34544,Y,08/08/2018,Truck,16,MH
1000D,"Yavatmal",38080,Y,08/08/2018,Truck,16,MH
1000D,"Sarai(Hazipur)",37920,Y,08/08/2018,Truck,16,BR
4000D,"Machalipatnam",19300,Y,08/08/2018,Truck,16,AP
4000D,"Posta",93100,Y,08/08/2018,Truck,21,WB
4000D,"Howrah",65572,Y,08/08/2018,Truck,16,WB
4000D,"Siddipet",25000,Y,08/08/2018,Truck,16,TG
1000D,"JAYANTGARH",23360,Y,08/08/2018,Truck,16,JH
1000D,"Dehri",33760,Y,07/08/2018,Truck,16,BR
1000D,"Ghazipur",36640,Y,07/08/2018,Truck,16,UPE
1000D,"Phuentsholing",46400,Y,07/08/2018,Truck,16,BH
1000D,"Chakradharpur",25600,Y,07/08/2018,Truck,16,JH
1000D,"Bagha",50400,Y,07/08/2018,Truck,16,BR
1000D,"Bhatinda",51520,Y,07/08/2018,Truck,16,PB
