Location,Prod_Code,mrp_code,mrp,sale_rate,vertical_value
4000D,400000347,,,0,Specialty Fats
4000D,400000348,,,0,Specialty Fats
4000D,400000349,,,0,Specialty Fats
4000D,400000350,,,0,Specialty Fats
4000D,400000352,,,0,Specialty Fats
4000D,400000353,,,0,Specialty Fats
4000D,400000354,,,0,Specialty Fats
4000D,400000355,,,0,Specialty Fats
4000D,400000389,,,0,Specialty Fats
4000D,400000390,,,0,Specialty Fats
4000D,400000428,,,0,Specialty Fats
4000D,400000412,,,0,Specialty Fats
4000D,400000411,,,0,Specialty Fats
4000D,400000427,,,0,Specialty Fats
4000D,400000413,,,0,Specialty Fats
4000D,400000414,,,0,Specialty Fats
4000D,400000545,,,0,Specialty Fats
4000D,400000528,,,0,Specialty Fats
4000D,400000347,,,0,Specialty Fats
4000D,400000348,,,917.87,Specialty Fats
4000D,400000349,,,1129.6,Specialty Fats
4000D,400000350,,,1061.26,Specialty Fats
4000D,400000352,,,1006.8,Specialty Fats
4000D,400000353,,,1026.36,Specialty Fats
4000D,400000354,,,1025.88,Specialty Fats
4000D,400000355,,,1025.88,Specialty Fats
4000D,400000389,,,0,Specialty Fats
4000D,400000428,,,0,Specialty Fats
4000D,400000412,,,0,Specialty Fats
4000D,400000411,,,0,Specialty Fats
4000D,400000427,,,1118.26,Specialty Fats
4000D,400000413,,,0,Specialty Fats
4000D,400000414,,,0,Specialty Fats
4000D,400000528,,,1072.58,Specialty Fats
4000D,400000545,,,0,Specialty Fats
4000D,400000598,,,1057.24,Specialty Fats
4000D,400000621,,,1029.83,Specialty Fats
4000D,400000631,,,1026.36,Specialty Fats
4000D,400000655,,,0,Specialty Fats
4000D,400000658,,,0,Specialty Fats
4000D,400000656,,,1089.63,Specialty Fats
4000D,400000682,,,923.12,Specialty Fats
4000D,400000700,,,0,Specialty Fats
4000D,400000699,,,1012.9,Specialty Fats
4000D,400000719,,,969.76,Specialty Fats
4000D,400000747,,,1159.87,Specialty Fats
4000D,400000748,,,1197.26,Specialty Fats
4000D,400000774,,,1090.71,Specialty Fats
4000D,400000753,,,1387.22,Specialty Fats
4000D,400000754,,,1350.42,Specialty Fats
4000D,400000756,,,1408.21,Specialty Fats
4000D,400000757,,,0,Specialty Fats
4000D,400000758,,,0,Specialty Fats
4000D,400000778,,,1121.9,Specialty Fats
4000D,400000783,,,0,Specialty Fats
4000D,400000787,,,1068.34,Specialty Fats
4000D,400000810,,,1542.42,Specialty Fats
4000D,400000821,,,1186.49,Specialty Fats
4000D,400000822,,,1191.94,Specialty Fats
4000D,400000827,,,1074.29,Specialty Fats
4000D,400000860,,,0,Specialty Fats
9201,400000347,,,0,Specialty Fats
9201,400000348,,,0,Specialty Fats
9201,400000349,,,0,Specialty Fats
9201,400000350,,,0,Specialty Fats
9201,400000352,,,0,Specialty Fats
9201,400000353,,,0,Specialty Fats
9201,400000354,,,0,Specialty Fats
9201,400000355,,,0,Specialty Fats
9201,400000389,,,0,Specialty Fats
9201,400000390,,,0,Specialty Fats
9201,400000428,,,0,Specialty Fats
9201,400000412,,,0,Specialty Fats
