dns state code,state
AN,Andaman and Nicobar Islands
AP,Andhra Pradesh
AR,Arunachal Pradesh
AS,Assam
BH,Phuentsholing
BR,Bihar
CG,Chhattisgarh
CH,Chandigarh
DD,Daman and Diu
DH,Dadra and Nagar Haveli
DL,Delhi
GA,Goa
GJ,Gujarat
HP,Himachal Pradesh
HR,Haryana
JH,Jharkhand
JK,Jammu and Kashmir
KA,Karnataka
KL,Kerala
LD,Lakshadweep
MH,Maharashtra
ML,Meghalaya
MN,Manipur
MP,Madhya Pradesh
MZ,Mizoram
NL,Nagaland
OR,Odisha
PB,Punjab
PY,Pondicherry
RJ,Rajasthan
SK,Sikkim
TG,Telangana
TN,Tamil Nadu
TR,Tripura
UK,Uttaranchal
UP,Uttar Pradesh
UPE,Uttar Pradesh (East)
UPW,Uttar Pradesh (West)
WB,West Bengal
