dns prod code,prod desc,packing cost,no pc one case,plant,packing realization
400000441,Rasoi 15 kg Jar (Blue),76.89,0,Haldia,76.89
400000589,Rasoi No 1 - 1 ltr Pouch,51.81,0,Haldia,51.81
400000776,HBC SBO SIDEL 1 LTR PET BPC PROMO,75.28,0,Haldia,75.28
400000611,Bake Magic,40.47,0,Haldia,40.47
400000730,Rasoi 15 kg Tin (Blue-North),84.51,0,Haldia,84.51
400000636,Rasoi No 1 - 200ml Pouch,109.48,0,Haldia,109.48
400000713,HBC RPO 15 KG TIN NORTH,81.92,0,Haldia,81.92
400000678,Soyabean 15 ltr Tin (New),83.61,0,Haldia,83.61
400000128,Palm 500 ml Pouch,35.78,0,Haldia,35.78
400000692,Palm 15 kg Tin (New),81.92,0,Haldia,81.92
400000170,Soyabean 500 ml Pouch,47.63,0,Haldia,47.63
400000521,Rasoi No-1 15 ltr Jar,76.09,0,Haldia,76.09
400000449,Rasoi 15 kg Jar (Gold),79.11,0,Haldia,79.11
400000562,Soyabean 1 ltr Bottle - Sidel,75.29,0,Haldia,75.29
400000465,Rasoi 15 ltr Jar (Yellow),75.99,0,Haldia,75.99
400000714,HBC RPO 1 LTR POUCH NORTH,30.16,0,Haldia,30.16
400000566,Soyabean 200 ml Bottle - Sidel,166.44,0,Haldia,166.44
400000691,Palm 15 ltr Tin (New),81.25,0,Haldia,81.25
400000397,Soyabean 15 ltr Jar,108.26,0,Haldia,108.26
400000523,Rasoi No 1 15 kg Jar,76.82,0,Haldia,76.82
400000595,Rasoi No 1 15 kg Tin,84.8,0,Haldia,84.8
400000594,Rasoi No 1 - 500ml Pouch,66.13,0,Haldia,66.13
400000455,Rasoi 1 ltr Pouch (Siliguri),51.81,0,Haldia,51.81
400000564,Soyabean 500 ml Bottle - Sidel,118.99,0,Haldia,118.99
400000731,Rasoi 15 kg Jar (Blue-North),79.93,0,Haldia,79.93
400000635,Rasoi No 1 15 ltr Tin,83.86,0,Haldia,83.86
400000140,Soyabean 1 ltr Pouch,39.8,0,Haldia,39.8
400000141,Palm 1 ltr Pouch (10pc),30.17,0,Haldia,30.17
400000255,Soyabean 5 ltr Jar,190.67,0,Haldia,190.67
400000693,Soyabean 15 kg Tin (New),84.64,0,Haldia,84.64
400000140,Soyabean 1 ltr Pouch,40.48,0,Kandla,40.48
400000141,Palm 1 ltr Pouch (10pc),29.84,0,Kandla,29.84
400000255,Soyabean 5 ltr Jar,153.97,0,Kandla,153.97
400000693,Soyabean 15 kg Tin (New),90.87,0,Kandla,90.87
400000713,HBC RPO 15 KG TIN NORTH,87.86,0,Kandla,87.86
400000678,Soyabean 15 ltr Tin (New),89.48,0,Kandla,89.48
400000692,Palm 15 kg Tin (New),87.86,0,Kandla,87.86
400000714,HBC RPO 1 LTR POUCH NORTH,29.84,0,Kandla,29.84
400000691,Palm 15 ltr Tin (New),86.74,0,Kandla,86.74
400000712,Sunflower 5 ltr Jar,194.3,0,Krishnapatnam,194.3
400000450,Palm 1 ltr Pouch (16pc),46.27,0,Krishnapatnam,46.27
400000595,Rasoi No 1 15 kg Tin,93.98,0,Krishnapatnam,93.98
400000151,HIMANI BEST CHOICE 15KG TIN,85.06,0,Krishnapatnam,85.06
400000594,Rasoi No 1 - 500ml Pouch,66.95,0,Krishnapatnam,66.95
400000691,Palm 15 ltr Tin (New),83.45,0,Krishnapatnam,83.45
400000715,Sunflower 15 kg Tin (LD),95.93,0,Krishnapatnam,95.93
400000589,Rasoi No 1 - 1 ltr Pouch,61.88,0,Krishnapatnam,61.88
400000260,Sunflower 1 ltr Pouch (16pc),52.7,0,Krishnapatnam,52.7
400000716,Sunflower 15 ltr Tin (LD),94.91,0,Krishnapatnam,94.91
400000611,Bake Magic,45.81,0,Krishnapatnam,45.81
400000128,Palm 500 ml Pouch,32.93,0,Krishnapatnam,32.93
400000141,Palm 1 ltr Pouch (10pc),28.5,0,Krishnapatnam,28.5
400000782,Sunflower 500 ml Pouch,53.71,0,Krishnapatnam,53.71
400000710,Sunflower 15 ltr Jar (LD),123.08,0,Krishnapatnam,123.08
400000637,Sunflower 1 ltr Pouch (12pc),42.52,0,Krishnapatnam,42.52
400000692,Palm 15 kg Tin (New),84.34,0,Krishnapatnam,84.34
400000692,Palm 15 kg Tin (New),88.73,0,Taloja,88.73
400000140,Soyabean 1 ltr Pouch,39.84,0,Taloja,39.84
400000170,Soyabean 500 ml Pouch,45.04,0,Taloja,45.04
400000691,Palm 15 ltr Tin (New),87.53,0,Taloja,87.53
400000693,Soyabean 15 kg Tin (New),91.82,0,Taloja,91.82
400000678,Soyabean 15 ltr Tin (New),90.7,0,Taloja,90.7
400000141,Palm 1 ltr Pouch (10pc),29.65,0,Taloja,29.65
