Location,Prod_Code,mrp_code,mrp,sale_rate,vertical_value
9110,400000350,,,0,Specialty Fats
9110,400000353,,,0,Specialty Fats
9110,400000753,,,0,Specialty Fats
9110,400000355,,,0,Specialty Fats
4000D,400000348,,,0,Specialty Fats
4000D,400000349,,,0,Specialty Fats
4000D,400000350,,,967.2,Specialty Fats
4000D,400000353,,,951,Specialty Fats
4000D,400000355,,,926.77,Specialty Fats
4000D,400000347,,,832.21,Specialty Fats
4000D,400000348,,,872.56,Specialty Fats
4000D,400000349,,,990.4,Specialty Fats
4000D,400000350,,,0,Specialty Fats
4000D,400000352,,,949.96,Specialty Fats
4000D,400000353,,,0,Specialty Fats
4000D,400000354,,,926.77,Specialty Fats
4000D,400000355,,,0,Specialty Fats
4000D,400000427,,,990.52,Specialty Fats
4000D,400000413,,,0,Specialty Fats
4000D,400000414,,,731.95,Specialty Fats
4000D,400000528,,,956.28,Specialty Fats
4000D,400000598,,,967.68,Specialty Fats
4000D,400000621,,,954.59,Specialty Fats
4000D,400000631,,,951,Specialty Fats
4000D,400000656,,,988.59,Specialty Fats
4000D,400000682,,,880.88,Specialty Fats
4000D,400000699,,,987.33,Specialty Fats
4000D,400000719,,,911.82,Specialty Fats
4000D,400000747,,,1016.1,Specialty Fats
4000D,400000748,,,1008.98,Specialty Fats
4000D,400000774,,,994.25,Specialty Fats
4000D,400000753,,,0,Specialty Fats
4000D,400000754,,,1230.76,Specialty Fats
4000D,400000756,,,1285.59,Specialty Fats
4000D,400000778,,,1012.45,Specialty Fats
4000D,400000783,,,1075.13,Specialty Fats
4000D,400000787,,,978.15,Specialty Fats
4000D,400000810,,,1363.21,Specialty Fats
4000D,400000821,,,1006.63,Specialty Fats
4000D,400000822,,,975.38,Specialty Fats
4000D,400000827,,,995.66,Specialty Fats
4000D,400000753,,,1285.83,Specialty Fats
4000D,400000706,,,0,Specialty Fats
4000D,400000860,,,937.71,Specialty Fats
9201,400000350,,,0,Specialty Fats
9201,400000347,,,857.75,Specialty Fats
9201,400000348,,,898.1,Specialty Fats
9201,400000349,,,1015.94,Specialty Fats
9201,400000350,,,992.74,Specialty Fats
9201,400000352,,,975.5,Specialty Fats
9201,400000353,,,976.54,Specialty Fats
9201,400000354,,,952.31,Specialty Fats
9201,400000355,,,952.31,Specialty Fats
9201,400000427,,,1018.51,Specialty Fats
9201,400000413,,,0,Specialty Fats
9201,400000414,,,757.49,Specialty Fats
9201,400000528,,,981.82,Specialty Fats
9201,400000598,,,993.22,Specialty Fats
9201,400000621,,,980.13,Specialty Fats
9201,400000631,,,976.54,Specialty Fats
9201,400000655,,,0,Specialty Fats
9201,400000656,,,1014.13,Specialty Fats
9201,400000682,,,906.42,Specialty Fats
9201,400000699,,,1012.87,Specialty Fats
9201,400000719,,,937.36,Specialty Fats
9201,400000747,,,1041.64,Specialty Fats
9201,400000748,,,1034.52,Specialty Fats
9201,400000774,,,1019.79,Specialty Fats
9201,400000753,,,0,Specialty Fats
9201,400000754,,,1264.81,Specialty Fats
9201,400000756,,,1319.64,Specialty Fats
9201,400000778,,,1037.99,Specialty Fats
9201,400000783,,,1100.67,Specialty Fats
9201,400000787,,,1003.69,Specialty Fats
9201,400000810,,,1397.26,Specialty Fats
9201,400000821,,,1032.17,Specialty Fats
9201,400000822,,,1000.92,Specialty Fats
9201,400000827,,,1021.2,Specialty Fats
9201,400000999,,,0,Specialty Fats
9201,400000860,,,963.25,Specialty Fats
9207,400000347,,,864.41,Specialty Fats
9207,400000348,,,904.76,Specialty Fats
9207,400000349,,,1022.6,Specialty Fats
9207,400000350,,,999.4,Specialty Fats
9207,400000352,,,982.16,Specialty Fats
9207,400000353,,,983.2,Specialty Fats
9207,400000354,,,958.97,Specialty Fats
9207,400000355,,,958.97,Specialty Fats
9207,400000427,,,1025.17,Specialty Fats
9207,400000413,,,0,Specialty Fats
9207,400000414,,,764.15,Specialty Fats
9207,400000528,,,988.48,Specialty Fats
9207,400000598,,,999.88,Specialty Fats
9207,400000621,,,986.79,Specialty Fats
9207,400000631,,,983.2,Specialty Fats
9207,400000656,,,1020.79,Specialty Fats
9207,400000682,,,913.08,Specialty Fats
9207,400000699,,,1019.53,Specialty Fats
