Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,FG0001,,0,0,,0,0,Y,0,0,0,0,Jharkhand
,FG0001,,0,0,,0,0,Y,0,0,0,0,ROB
,FG0001,,0,0,,0,0,Y,0,0,0,0,
,FG0001,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0001,,0,0,,0,0,Y,0,0,0,0,ODISHA
,FG0001,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,West Bengal
,FG0001,,0,0,,0,0,Y,0,0,0,0,Bihar
,FG0001,,0,0,,0,0,Y,0,0,0,0,KOLKATA
,FG0002,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ROB
,FG0002,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,
,FG0002,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0002,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Jharkhand
,FG0002,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ODISHA
,FG0002,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Bihar
,FG0002,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,KOLKATA
,FG0003,,0,0,,0,0,Y,0,0,0,0,ROB
,FG0003,,0,0,,0,0,Y,0,0,0,0,
,FG0003,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0003,,0,0,,0,0,Y,0,0,0,0,ODISHA
,FG0003,,0,0,,0,0,Y,0,0,0,0,Jharkhand
,FG0003,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,West Bengal
,FG0003,,0,0,,0,0,Y,0,0,0,0,Bihar
,FG0003,,0,0,,0,0,Y,0,0,0,0,KOLKATA
,FG0004,,0,3.5,,0,0,Y,1310.68,1261.68,1236.94,1177.37,ROB
,FG0004,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,
,FG0004,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0004,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,ODISHA
,FG0004,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,Bihar
,FG0004,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,Jharkhand
,FG0004,,0,3.5,,0,0,Y,1310.68,1261.68,1236.94,1177.37,KOLKATA
,FG0005,,0,0,,0,0,Y,0,0,0,0,ROB
,FG0005,,0,0,,0,0,Y,0,0,0,0,
,FG0005,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0005,,0,0,,0,0,Y,0,0,0,0,ODISHA
,FG0005,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,West Bengal
,FG0005,,0,0,,0,0,Y,0,0,0,0,Bihar
,FG0005,,0,0,,0,0,Y,0,0,0,0,Jharkhand
,FG0005,,0,0,,0,0,Y,0,0,0,0,KOLKATA
,FG0006,,0,0,,0,0,Y,0,0,0,0,ROB
,FG0006,,0,0,,0,0,Y,0,0,0,0,
,FG0006,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0006,,0,0,,0,0,Y,0,0,0,0,ODISHA
,FG0006,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,West Bengal
,FG0006,,0,0,,0,0,Y,0,0,0,0,Bihar
,FG0006,,0,0,,0,0,Y,0,0,0,0,Jharkhand
,FG0006,,0,0,,0,0,Y,0,0,0,0,KOLKATA
,FG0007,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ROB
,FG0007,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,
,FG0007,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0007,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ODISHA
,FG0007,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Bihar
,FG0007,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Jharkhand
,FG0007,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,KOLKATA
,FG0008,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ROB
,FG0008,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,
,FG0008,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0008,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ODISHA
,FG0008,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Bihar
,FG0008,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Jharkhand
,FG0008,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,KOLKATA
,FG0009,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ROB
,FG0009,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,
,FG0009,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0009,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ODISHA
,FG0009,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Bihar
,FG0009,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Jharkhand
,FG0009,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,KOLKATA
,FG0010,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Jharkhand
,FG0010,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ROB
,FG0010,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,
,FG0010,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0010,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,ODISHA
,FG0010,,0,3.75,,0,0,Y,1310.679611,1261.682243,1236.943375,1177.368528,Bihar
,FG0010,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,KOLKATA
,FG0011,,0,0,,0,0,Y,0,0,0,0,ROB
,FG0011,,0,0,,0,0,Y,0,0,0,0,Jharkhand
,FG0011,,0,0,,0,0,Y,0,0,0,0,
,FG0011,,0,48,,0,0,Y,1109.57,1068.09,1047.15,977.17,UP-North
,FG0011,,0,0,,0,0,Y,0,0,0,0,ODISHA
,FG0011,,0,45,,0,0,Y,1092.23,1051.4,1030.79,981.14,West Bengal
,FG0011,,0,0,,0,0,Y,0,0,0,0,Bihar
,FG0011,,0,0,,0,0,Y,0,0,0,0,KOLKATA
,FG0012,,0,0,,0,0,Y,0,0,0,0,ROB
,FG0012,,0,0,,0,0,Y,0,0,0,0,Jharkhand
,FG0012,,0,0,,0,0,Y,0,0,0,0,
,FG0012,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0012,,0,0,,0,0,Y,0,0,0,0,ODISHA
,FG0012,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,West Bengal
,FG0012,,0,0,,0,0,Y,0,0,0,0,Bihar
,FG0012,,0,0,,0,0,Y,0,0,0,0,KOLKATA
,FG0013,,0,0,,0,0,Y,0,0,0,0,ROB
,FG0013,,0,0,,0,0,Y,0,0,0,0,Jharkhand
,FG0013,,0,0,,0,0,Y,0,0,0,0,
,FG0013,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0013,,0,0,,0,0,Y,0,0,0,0,ODISHA
,FG0013,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,West Bengal
,FG0013,,0,0,,0,0,Y,0,0,0,0,Bihar
,FG0013,,0,0,,0,0,Y,0,0,0,0,KOLKATA
,FG0014,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,ROB
,FG0014,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,
,FG0014,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,Jharkhand
,FG0014,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0014,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,ODISHA
,FG0014,,0,3.5,,0,0,Y,1223.3,1177.57,1154.48,1098.88,West Bengal
,FG0014,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,Bihar
,FG0014,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,KOLKATA
,FG0015,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,ROB
,FG0015,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,
,FG0015,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,Jharkhand
,FG0015,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0015,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,ODISHA
,FG0015,,0,3.5,,0,0,Y,1223.3,1177.57,1154.48,1098.88,West Bengal
,FG0015,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,Bihar
,FG0015,,0,3.75,,0,0,Y,1310.68,1261.68,1236.94,1177.37,KOLKATA
,FG0016,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,ROB
,FG0016,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,
,FG0016,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,Jharkhand
,FG0016,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0016,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,ODISHA
,FG0016,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,Bihar
,FG0016,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,KOLKATA
,FG0017,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,ROB
,FG0017,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,
,FG0017,,0,3.67,,0,0,Y,1220.53,1174.9,1151.86,1074.89,UP-North
,FG0017,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,Jharkhand
,FG0017,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,ODISHA
,FG0017,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,Bihar
,FG0017,,0,3.5,,0,0,Y,1223.300971,1177.570093,1154.480484,1098.877293,KOLKATA
