Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,FG0001,Khatta Mitha |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0002,Nut Craker |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,N,Y,,Pcs.,Case,,,,,0
,FG0003,Raita Boondi |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0004,Hara Matar |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,N,Y,,Pcs.,Case,,,,,0
,FG0005,Chatpata |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0006,Channa Dal Fried |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0007,Alu Bhujia |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,N,Y,,Pcs.,Case,,,,,0
,FG0008,Bhujia |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,N,Y,,Pcs.,Case,,,,,0
,FG0009,Moong Dal Fried |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,N,Y,,Pcs.,Case,,,,,0
,FG0010,Moong Dal Fried (Nimbu Masala) |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,N,Y,,Pcs.,Case,,,,,0
,FG0011,TIFFIN PACK Rs. 5/-(COMBO) |240 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0012,Pj Jhal Chanachur |30 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0013,Pj Khatta Mitha |30 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0014,Pj All in One |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0015,Pj Chatpatta |20 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
