Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,171-00010,M UP ST 1 (STETHOSCOPE),RYDER,,,0,Y,N,,PCS,,,,,,0
,171-00006,M UP ST 2 (STETHOSCOPE),RYDER,,,0,Y,N,,PCS,,,,,,0
,171-00007,M UP ST 3 (STETHOSCOPE),RYDER,,,0,Y,N,,PCS,,,,,,0
,171-00011,M UP ST 4 (STETHOSCOPE),RYDER,,,0,Y,N,,PCS,,,,,,0
,157-00012,Ryder300-Black,RYDER,,,0,Y,N,,PCS,,,,,,0
,157-00001,RYDER 300 (SL),RYDER,,,0,Y,N,,PCS,,,,,,0
,157-00017,Ryder 121,RYDER,,,0,Y,N,,PCS,,,,,,0
,153-00008,RYDER 200,RYDER,,,0,Y,N,,PCS,,,,,,0
,153-00014,Ryder 200-Front Cut,RYDER,,,0,Y,N,,PCS,,,,,,0
,153-00015,Ryder 220-Pink,RYDER,,,0,Y,N,,PCS,,,,,,0
,153-00012,Ryder 220,RYDER,,,0,Y,N,,PCS,,,,,,0
,153-00016,Ryder 220MS -Front Cut-Powder coated-Folding-Chair for handicaped / invalid person,RYDER,,,0,Y,N,,PCS,,,,,,0
,156-00019,Ryder 22- Aluminium Elbow Crutch,RYDER,,,0,Y,N,,PCS,,,,,,0
,157-00008,RYDER 300 (SL-M),RYDER,,,0,Y,N,,PCS,,,,,,0
,157-00013,Ryder 310-Tripod,RYDER,,,0,Y,N,,PCS,,,,,,0
,157-00015,Ryder311-Tripod,RYDER,,,0,Y,N,,PCS,,,,,,0
,157-00014,Ryder 320-Quadripod,RYDER,,,0,Y,N,,PCS,,,,,,0
,157-00016,Ryder321-Quadripod,RYDER,,,0,Y,N,,PCS,,,,,,0
,159-00001,RYDER 500BR,RYDER,,,0,Y,N,,PCS,,,,,,0
,158-00017,Ryder -50-MS Walker,RYDER,,,0,Y,N,,PCS,,,,,,0
,158-00018,Ryder 51 Walker,RYDER,,,0,Y,N,,PCS,,,,,,0
,153-00009,RYDER 210,RYDER,,,0,Y,N,,PCS,,,,,,0
