Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,,SONY DSC-H100.Black,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCH200. Black,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCHX200V. Black,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCHX20V.Black,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSC-HX7V/Black,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCW690. Black,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCW690. Silver,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCWX150. Blue,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCWX150. Red,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCWX200.Black,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCWX200.Gold,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCWX200.Pink,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCWX200.Silver,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DSCWX50. Gold,Sony,DSC,DSC,0,Y,N,CE,,,,,,,
,,SONY DCR-PJ5E/BC E34,Sony,DCR,DCR,0,Y,N,CE,,,,,,,
,,SONY DCRPJ6E/BC E34,Sony,DCR,DCR,0,Y,N,CE,,,,,,,
,,SONY DCRSX22E,Sony,DCR,DCR,0,Y,N,CE,,,,,,,
,,SONY DCRSX45E,Sony,DCR,DCR,0,Y,N,CE,,,,,,,
,,SONY HDRCX200E/BCE35(VIDEO CAMERA),Sony,DCR,DCR,0,Y,N,CE,,,,,,,
,,SONY HDRCX260VE/BE35,Sony,DCR,DCR,0,Y,N,CE,,,,,,,
,,SONY HDRPJ200E/BCE35,Sony,DCR,DCR,0,Y,N,CE,,,,,,,
,,SONY HDRXR160E/BCE35,Sony,DCR,DCR,0,Y,N,CE,,,,,,,
,,SONY HDRPJ380E/BCE35,Sony,DCR,DCR,0,Y,N,CE,,,,,,,
,,LG DVD235,LG,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,LG DVD325,LG,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,LG DVD415,LG,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,LG DV656-P.AINDDLB,LG,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,LG DP126-P.AA2ILLL,LG,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SAMSUNG DVDC350,Samsung,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SAMSUNG DVDC360R/XTL,Samsung,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SAMSUNG DVDC370,Samsung,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SAMSUNG DVDC460/XTL,Samsung,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SAMSUNG DVDH1080R,Samsung,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY BDP-S190/BM IN5,Sony,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY BDPS350,Sony,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY BDP-S370B,Sony,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY BDP-S380/BM IN5,Sony,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY BDPS490,Sony,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY DVPSR200P,Sony,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY DVPSR650PB,Sony,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY DVPSR660P/BCIN5,Sony,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY DVPSR750HPBCIN5,Sony,DVD PLAYER,DVD PLAYER,0,Y,N,CE,,,,,,,
,,SONY DPFA710 E32,Sony,DIGITAL PHOTOFRAME,DIGITAL PHOTOFRAME,0,Y,N,CE,,,,,,,
