Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,SF001,,110,0,,0,0,Y,0,0,0,0,
,SF011,,180,0,,0,0,Y,0,0,0,0,
,AP023,,170,0,,0,0,Y,0,0,0,0,
,AP024,,45,0,,0,0,Y,0,0,0,0,
,AP027,,275,0,,0,0,Y,0,0,0,0,
,AP028,,475,0,,0,0,Y,0,0,0,0,
,AP031,,65,0,,0,0,Y,0,0,0,0,
,SF070,,180,0,0,0,0,Y,0,0,0,0,
,SF071,,795,0,,0,0,Y,0,0,0,0,
,AP036,,65,0,,0,0,Y,0,0,0,0,
,AB001,,20,0,,0,0,Y,0,0,0,0,
,SF012,,195,0,,0,0,Y,0,0,0,0,
,SF014,,180,0,,0,0,Y,0,0,0,0,
,SF015,,195,0,,0,0,Y,0,0,0,0,
,SF016,,160,0,,0,0,Y,0,0,0,0,
,SF017,,250,0,,0,0,Y,0,0,0,0,
,SF018,,295,0,,0,0,Y,0,0,0,0,
,SF019,,50,0,,0,0,Y,0,0,0,0,
,SF020,,225,0,,0,0,Y,0,0,0,0,
,SF021,,65,0,,0,0,Y,0,0,0,0,
,SF002,,165,0,,0,0,Y,0,0,0,0,
,SF022,,275,0,,0,0,Y,0,0,0,0,
,SF023,,275,0,,0,0,Y,0,0,0,0,
,SF024,,140,0,,0,0,Y,0,0,0,0,
,SF025,,650,0,,0,0,Y,0,0,0,0,
,SF026,,225,0,,0,0,Y,0,0,0,0,
,SF027,,650,0,,0,0,Y,0,0,0,0,
,SF028,,195,0,,0,0,Y,0,0,0,0,
,SF029,,175,0,,0,0,Y,0,0,0,0,
,SF030,,195,0,,0,0,Y,0,0,0,0,
,SF031,,175,0,,0,0,Y,0,0,0,0,
,SF032,,325,0,,0,0,Y,0,0,0,0,
,SF033,,350,0,,0,0,Y,0,0,0,0,
,SF034,,325,0,,0,0,Y,0,0,0,0,
,SF035,,250,0,,0,0,Y,0,0,0,0,
,SF036,,850,0,,0,0,Y,0,0,0,0,
,SF037,,210,0,,0,0,Y,0,0,0,0,
,SF038,,750,0,,0,0,Y,0,0,0,0,
,SF039,,210,0,,0,0,Y,0,0,0,0,
,SF040,,0,0,,0,0,Y,0,0,0,0,
,SF041,,225,0,,0,0,Y,0,0,0,0,
,SF005,,90,0,,0,0,Y,0,0,0,0,
,SF042,,650,0,,0,0,Y,0,0,0,0,
,SF043,,850,0,,0,0,Y,0,0,0,0,
,SF044,,165,0,,0,0,Y,0,0,0,0,
,SF045,,180,0,,0,0,Y,0,0,0,0,
,SF046,,240,0,,0,0,Y,0,0,0,0,
,SF047,,350,0,,0,0,Y,0,0,0,0,
,SF048,,350,0,,0,0,Y,0,0,0,0,
,SF049,,450,0,,0,0,Y,0,0,0,0,
,SF050,,14,0,,0,0,Y,0,0,0,0,
,SF051,,170,0,,0,0,Y,0,0,0,0,
,SF006,,130,0,,0,0,Y,0,0,0,0,
,SF052,,195,0,,0,0,Y,0,0,0,0,
,SF053,,395,0,,0,0,Y,0,0,0,0,
,SF054,,395,0,,0,0,Y,0,0,0,0,
,SF055,,295,0,,0,0,Y,0,0,0,0,
,SF056,,295,0,,0,0,Y,0,0,0,0,
,SF057,,295,0,,0,0,Y,0,0,0,0,
,SF058,,295,0,,0,0,Y,0,0,0,0,
,SF059,,295,0,,0,0,Y,0,0,0,0,
,SF060,,225,0,,0,0,Y,0,0,0,0,
,SF061,,295,0,,0,0,Y,0,0,0,0,
,SF007,,395,0,,0,0,Y,0,0,0,0,
,SF062,,150,0,,0,0,Y,0,0,0,0,
,SF063,,150,0,,0,0,Y,0,0,0,0,
,SF064,,649,0,,0,0,Y,0,0,0,0,
,SF065,,75,0,,0,0,Y,0,0,0,0,
,SF066,,195,0,,0,0,Y,0,0,0,0,
,SF067,,750,0,,0,0,Y,0,0,0,0,
,AP007,,95,0,,0,0,Y,0,0,0,0,
,AP008,,245,0,,0,0,Y,0,0,0,0,
,AP009,,395,0,,0,0,Y,0,0,0,0,
,AP017,,245,0,,0,0,Y,0,0,0,0,
,SF008,,95,0,,0,0,Y,0,0,0,0,
,AP018,,395,0,,0,0,Y,0,0,0,0,
,AP025,,100,0,,0,0,Y,0,0,0,0,
,AP026,,375,0,,0,0,Y,0,0,0,0,
,AP029,,110,0,,0,0,Y,0,0,0,0,
,AP030,,425,0,,0,0,Y,0,0,0,0,
,AP032,,80,0,,0,0,Y,0,0,0,0,
,AP033,,140,0,,0,0,Y,0,0,0,0,
,AP034,,80,0,,0,0,Y,0,0,0,0,
,AP035,,350,0,,0,0,Y,0,0,0,0,
,SF003,,175,0,,0,0,Y,0,0,0,0,
,SF009,,130,0,,0,0,Y,0,0,0,0,
,SF004,,125,0,,0,0,Y,0,0,0,0,
,SF013,,195,0,,0,0,Y,0,0,0,0,
,AP001,,90,0,,0,0,Y,0,0,0,0,
,AP002,,160,0,,0,0,Y,0,0,0,0,
,AP003,,295,0,,0,0,Y,0,0,0,0,
,AP004,,90,0,,0,0,Y,0,0,0,0,
,AP005,,160,0,,0,0,Y,0,0,0,0,
,AP006,,295,0,,0,0,Y,0,0,0,0,
,AP010,,95,0,,0,0,Y,0,0,0,0,
,SF010,,425,0,,0,0,Y,0,0,0,0,
,AP011,,245,0,,0,0,Y,0,0,0,0,
,AP012,,395,0,,0,0,Y,0,0,0,0,
,AP013,,95,0,,0,0,Y,0,0,0,0,
,AP014,,245,0,,0,0,Y,0,0,0,0,
,AP015,,395,0,,0,0,Y,0,0,0,0,
,AP016,,95,0,,0,0,Y,0,0,0,0,
,AP019,,65,0,,0,0,Y,0,0,0,0,
,AP020,,140,0,,0,0,Y,0,0,0,0,
,AP021,,475,0,,0,0,Y,0,0,0,0,
,AP022,,170,0,,0,0,Y,0,0,0,0,
