Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,,1.5 T EZ FANATASIA INVERTER DUMMY-90177,Whirlpool,Air Conditioner,,3,Y,N,Whirlpool,,,,,,,0
,,IT MAGICOOL DLX OOPR 3S-WHITE GOLD-IDU-90100,Whirlpool,Air Conditioner,,1,Y,N,Whirlpool,,,,,,,0
,,MAGICOOK 20L CLASSIC-BLACK- (NEW)--- 50015.,Whirlpool,Micro Wave Oven,,0,Y,N,Whirlpool,,,,,,,0
,,MAGICOOK 20L ELITE EXOTICA-50023,Whirlpool,Micro Wave Oven,,0,Y,N,Whirlpool,,,,,,,0
,,MAGICOOK 23C FLORA--50024,Whirlpool,Micro Wave Oven,,3,Y,N,Whirlpool,,,,,,,0
,,200 IMPOWERCOOL ROY 3S SAPPHIRE ORBIT-E--70739,Whirlpool,Refrigerator,,6,Y,N,Whirlpool,,,,,,,0
,,200 IMPOWERCOOL ROY 3S WINE ORBIT-E--70738,Whirlpool,Refrigerator,,2,Y,N,Whirlpool,,,,,,,0
,,205IMPC PRM 3S SAPPHIRE FLORA-E--70994,Whirlpool,Refrigerator,,530,Y,N,Whirlpool,,,,,,,0
,,205 IMPC PRM 3S SAPPHIRE FLORA(P)-E-71039,Whirlpool,Refrigerator,,350,Y,N,Whirlpool,,,,,,,0
,,205 IMPC PRM 3S WINE FLORA-E--70995,Whirlpool,Refrigerator,,18,Y,N,Whirlpool,,,,,,,0
,,205 IMPC ROY 3S SAPPHIRE FLORA-E--70997,Whirlpool,Refrigerator,,18,Y,N,Whirlpool,,,,,,,0
,,205 IMPC ROY 3S SAPPHIRE ORBIT-E-70958,Whirlpool,Refrigerator,,8,Y,N,Whirlpool,,,,,,,0
,,205 IMPC ROY 3S SAPPHIRE ORBIT(P)-E-71109,Whirlpool,Refrigerator,,45,Y,N,Whirlpool,,,,,,,0
,,205 IMPC ROY 3S WINE DIOR-E--70960,Whirlpool,Refrigerator,,34,Y,N,Whirlpool,,,,,,,0
,,205 IMPC ROY 3S WINE FLORA-E--70998,Whirlpool,Refrigerator,,40,Y,N,Whirlpool,,,,,,,0
,,205 IMPWCOOL ROY 3S WINE EXOTICA  - E- 70674,Whirlpool,Refrigerator,,9,Y,N,Whirlpool,,,,,,,0
,,205 IMPWCOOL ROY SAPPHIRE EXOTICA- E- 70673,Whirlpool,Refrigerator,,19,Y,N,Whirlpool,,,,,,,0
,,215 IMPC PRM 4S SAPPHIRE SPLASH-E---71000,Whirlpool,Refrigerator,,5,Y,N,Whirlpool,,,,,,,0
,,215 IMPC PRM 4S SAPPHIRE SPLASH (P)-E- 71044,Whirlpool,Refrigerator,,59,Y,N,Whirlpool,,,,,,,0
,,215 IMPC PRM 4S WINE SPLASH-E--70999,Whirlpool,Refrigerator,,4,Y,N,Whirlpool,,,,,,,0
,,215 IMPC ROY 4S SAPPHIRE SPLASH-E--71002,Whirlpool,Refrigerator,,9,Y,N,Whirlpool,,,,,,,0
,,215 IMPC ROY 4S WINE SPLASH-E--71003,Whirlpool,Refrigerator,,20,Y,N,Whirlpool,,,,,,,0
,,215 IMPOWERCOOL PRM 3S SAPPHIRE MAGNOLIA-E--70889,Whirlpool,Refrigerator,,30,Y,N,Whirlpool,,,,,,,0
,,215 IMPOWERCOOL ROY 4S WINE MAGNOLIA-E--70746,Whirlpool,Refrigerator,,134,Y,N,Whirlpool,,,,,,,0
,,215 IMPWCOOL PRM 3S SAPPH MAGNOLIA-E(P)-70926,Whirlpool,Refrigerator,,78,Y,N,Whirlpool,,,,,,,0
,,215 IMPWCOOL PRM 4S SAPPHIRE MAGNOLIA-E-70743,Whirlpool,Refrigerator,,5,Y,N,Whirlpool,,,,,,,0
,,215 IMPWCOOL ROY 3S MIDNIGHT BLOOM- E- 70687,Whirlpool,Refrigerator,,1,Y,N,Whirlpool,,,,,,,0
,,215 IMPWCOOL ROY 3S WINE MAGNOLIA- E- 70891,Whirlpool,Refrigerator,,14,Y,N,Whirlpool,,,,,,,0
,,215 IM PWCOOL ROY 4S SAPPHIRE MAGNOLIA-E-70747,Whirlpool,Refrigerator,,14,Y,N,Whirlpool,,,,,,,0
,,215 VITAMAGIC ROY 5S SAPPHIRE DAHLIA- 70849,Whirlpool,Refrigerator,,75,Y,N,Whirlpool,,,,,,,0
,,230 IMFRESH PRM 4S WINE DIOR (N)- E- 70619,Whirlpool,Refrigerator,,3,Y,N,Whirlpool,,,,,,,0
,,230 IMFRESH ROY 4S MIDNIGHT BLOOM {N}-E--70621,Whirlpool,Refrigerator,,128,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC PRM 4S PURPLE ELECTRA-E--71019,Whirlpool,Refrigerator,,37,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC PRM 4S SAPPHIRE DAHLIA--70851,Whirlpool,Refrigerator,,2,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC PRM 4S WINE DAHLIA-70850,Whirlpool,Refrigerator,,5,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC PRM 4S WINE  ELCTR-E-71018,Whirlpool,Refrigerator,,1,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC PRO PRM 3S ALPHA STEEL-E--70975,Whirlpool,Refrigerator,,1,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC PRO PRM 3S WINE ELCTRA --71024,Whirlpool,Refrigerator,,17,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC PRO ROY 3S WINE ELCTRA-E--71033,Whirlpool,Refrigerator,,8,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC ROY 4S SAPPHIRE DAHLIA- 70853,Whirlpool,Refrigerator,,18,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC ROY 4S WINE DAHLIA- 70852,Whirlpool,Refrigerator,,2,Y,N,Whirlpool,,,,,,,0
,,260 IMFRESH PRM 4S WINE ELCTRA-E-71034,Whirlpool,Refrigerator,,5,Y,N,Whirlpool,,,,,,,0
,,260 IMFRESH ROY 4S WINE ELECTRA-EE--71037,Whirlpool,Refrigerator,,5,Y,N,Whirlpool,,,,,,,0
,,205 IMPC PRM 3S WINE DAHLIA (P)-E-71102,Whirlpool,Refrigerator,,26,Y,N,Whirlpool,,,,,,,0
,,205 IMPC PRMS WINE DIOR-E-70956,Whirlpool,Refrigerator,,20,Y,N,Whirlpool,,,,,,,0
,,215 IMPC PRM 4S PURPLE SPLASH-E-71001,Whirlpool,Refrigerator,,5,Y,N,Whirlpool,,,,,,,0
,,215 IMPWCOOL PRM 4S SAPPHIRE MAGNOLIA-E-70919,Whirlpool,Refrigerator,,8,Y,N,Whirlpool,,,,,,,0
,,215 IMPWCOOL PRM 4S WINE MAGNOLIA-E,Whirlpool,Refrigerator,,126,Y,N,Whirlpool,,,,,,,0
,,215 VITAMAGIC PRO ROY 3S ALPHA STEEL-E-70963,Whirlpool,Refrigerator,,20,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC ROY 4S WINE ELCTRA-E-71025,Whirlpool,Refrigerator,,3,Y,N,Whirlpool,,,,,,,0
,,230 VITAMAGIC ROY 5S WINE DAHLIA - 70854,Whirlpool,Refrigerator,,3,Y,N,Whirlpool,,,,,,,0
,,260 IMFRESH PM 4S WINE MAGNOLIA-E-70906,Whirlpool,Refrigerator,,22,Y,N,Whirlpool,,,,,,,0
,,260 IMFRESH PRM 4S SAPPHIRE MAGNOLIA-E- 70907,Whirlpool,Refrigerator,,3,Y,N,Whirlpool,,,,,,,0
