Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,WS1,,0,82.4,,0,0,Y,0,0,0,0,
,WS10,,0,36.8,,0,0,Y,0,0,0,0,
,BS24,,0,16.5,,0,0,Y,0,0,0,0,
,BS25,,0,42,,0,0,Y,0,0,0,0,
,BS26,,0,23.25,,0,0,Y,0,0,0,0,
,BS27,,0,40.5,,0,0,Y,0,0,0,0,
,BS28,,0,22.5,,0,0,Y,0,0,0,0,
,BS29,,0,43.5,,0,0,Y,0,0,0,0,
,BS30,,0,24,,0,0,Y,0,0,0,0,
,BS31,,0,46.5,,0,0,Y,0,0,0,0,
,BS32,,0,25.5,,0,0,Y,0,0,0,0,
,BS33,,0,48,,0,0,Y,0,0,0,0,
,WS11,,0,30.4,,0,0,Y,0,0,0,0,
,BS34,,0,26.25,,0,0,Y,0,0,0,0,
,BS35,,0,57,,0,0,Y,0,0,0,0,
,BS36,,0,30.75,,0,0,Y,0,0,0,0,
,BS37,,0,40.5,,0,0,Y,0,0,0,0,
,BS38,,0,22.5,,0,0,Y,0,0,0,0,
,BS39,,0,12,,0,0,Y,0,0,0,0,
,BS40,,0,45,,0,0,Y,0,0,0,0,
,BS41,,0,24.75,,0,0,Y,0,0,0,0,
,BS42,,0,66,,0,0,Y,0,0,0,0,
,BS43,,0,35.25,,0,0,Y,0,0,0,0,
,WS12,,0,12.8,,0,0,Y,0,0,0,0,
,BS44,,0,70.5,,0,0,Y,0,0,0,0,
,BS45,,0,37.5,,0,0,Y,0,0,0,0,
,BS46,,0,292.5,,0,0,Y,0,0,0,0,
,BS47,,0,172.5,,0,0,Y,0,0,0,0,
,BS48,,0,34.5,,0,0,Y,0,0,0,0,
,BS49,,0,208.5,,0,0,Y,0,0,0,0,
,BS50,,0,106.5,,0,0,Y,0,0,0,0,
,BS51,,0,49.5,,0,0,Y,0,0,0,0,
,BS52,,0,142.5,,0,0,Y,0,0,0,0,
,BS53,,0,73.5,,0,0,Y,0,0,0,0,
,WS13,,0,33.6,,0,0,Y,0,0,0,0,
,BS54,,0,37.5,,0,0,Y,0,0,0,0,
,BS55,,0,18,,0,0,Y,0,0,0,0,
,BS56,,0,37.5,,0,0,Y,0,0,0,0,
,BS57,,0,21,,0,0,Y,0,0,0,0,
,BS58,,0,46.5,,0,0,Y,0,0,0,0,
,BS59,,0,25.5,,0,0,Y,0,0,0,0,
,BS60,,0,33,,0,0,Y,0,0,0,0,
,BS61,,0,18,,0,0,Y,0,0,0,0,
,BS62,,0,51,,0,0,Y,0,0,0,0,
,BS63,,0,27.75,,0,0,Y,0,0,0,0,
,WS14,,0,13.6,,0,0,Y,0,0,0,0,
,BS64,,0,14.25,,0,0,Y,0,0,0,0,
,BS65,,0,27,,0,0,Y,0,0,0,0,
,BS66,,0,15,,0,0,Y,0,0,0,0,
,BS67,,0,56.25,,0,0,Y,0,0,0,0,
,BS68,,0,30,,0,0,Y,0,0,0,0,
,BS69,,0,162,,0,0,Y,0,0,0,0,
,BS70,,0,83.25,,0,0,Y,0,0,0,0,
,BS71,,0,40.5,,0,0,Y,0,0,0,0,
,BS72,,0,22.5,,0,0,Y,0,0,0,0,
,BS73,,0,54,,0,0,Y,0,0,0,0,
,WS15,,0,47.2,,0,0,Y,0,0,0,0,
,BS74,,0,33,,0,0,Y,0,0,0,0,
,BS75,,0,40.5,,0,0,Y,0,0,0,0,
,BS76,,0,30,,0,0,Y,0,0,0,0,
,BS77,,0,37.5,,0,0,Y,0,0,0,0,
,BS78,,0,30,,0,0,Y,0,0,0,0,
,BS79,,0,4,,0,0,Y,0,0,0,0,
,BS80,,0,29.25,,0,0,Y,0,0,0,0,
,BS81,,0,4,,0,0,Y,0,0,0,0,
,BS82,,0,29.25,,0,0,Y,0,0,0,0,
,BS83,,0,4,,0,0,Y,0,0,0,0,
,WS16,,0,19.2,,0,0,Y,0,0,0,0,
,BS84,,0,30,,0,0,Y,0,0,0,0,
,BS85,,0,35.25,,0,0,Y,0,0,0,0,
,BS86,,0,36,,0,0,Y,0,0,0,0,
,C1,,0,5.7,,0,0,Y,0,0,0,0,
,C2,,0,13.5,,0,0,Y,0,0,0,0,
,C3,,0,27,,0,0,Y,0,0,0,0,
,C4,,0,67.5,,0,0,Y,0,0,0,0,
,C5,,0,255,,0,0,Y,0,0,0,0,
,C6,,0,60,,0,0,Y,0,0,0,0,
,C7,,0,20,,0,0,Y,0,0,0,0,
,WS17,,0,30.4,,0,0,Y,0,0,0,0,
,C8,,0,40,,0,0,Y,0,0,0,0,
,C9,,0,77,,0,0,Y,0,0,0,0,
,C10,,0,118,,0,0,Y,0,0,0,0,
,C11,,0,216,,0,0,Y,0,0,0,0,
