Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,WS1,Jeera - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS2,Jeera - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS3,Sounf - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS4,Sounf - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS5,Methi - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS6,Methi - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS7,Ajwain - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS8,Ajwain - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS9,Kala Jeera - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS10,Kala Jeera - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS11,Sarson - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS12,Sarson - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS13,Sarson (Yellow) - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS14,Sarson (Yellow) - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS15,Rai - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS16,Rai - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS17,Rai (Moti) - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS18,Rai (Moti) - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS19,Kala Mirch - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS20,Kala Mirch - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS21,Panchphoran - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS22,Panchphoran - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS23,Dhania (Gota) - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS24,Dhania (Gota) - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS25,Poppy Seeds - 250g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS26,Poppy Seeds - 100g,Whole Spices,,,0,Y,N,,,,,,,0,0
,WS27,Poppy Seeds - 50g,Whole Spices,,,0,Y,N,,,,,,,0,0
,PS1,Mithi Mircha - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS2,Mithi Mircha - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS3,Jhal Mircha - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS4,Jhal Mircha - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS5,Jhal Mircha - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS6,Jhal Mircha - 10g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS7,Dhania - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS8,Dhania - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS9,Dhania - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS10,Haldi - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS11,Haldi - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS12,Haldi - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS13,Haldi - 10g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS14,Amchur - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS15,Amchur - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS16,Amchur - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS17,Jeera Powder - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS18,Jeera Powder - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS19,Jeera Powder - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS20,Jeera (Roasted Powder) - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS21,Jeera (Roasted Powder) - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS22,Jeera (Roasted Powder) - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS23,Sounf Powder - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS24,Sounf Powder - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS25,Methi Powder - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS26,Methi Powder - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS27,Ajwain Powder - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS28,Ajwain Powder - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS29,Ajwain Powder - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS30,Rai Powder - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS31,Rai Powder - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS32,Kali Mircha Powder - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS33,Kali Mircha Powder - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS34,Kali Mircha Powder - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS35,Kala Namak - 200g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS36,Sindha Namak - 200g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS37,Mixed Achar (Green Chilli) - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS38,Mixed Achar (Red Chilli) - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS39,Mixed Achar  (Mango) - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS40,Sonth Powder - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS41,Sonth Powder - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS42,Sonth Powder - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS43,White Pepper Powder - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS44,White Pepper Powder - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS45,White Pepper Powder - 50g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS46,Kachari Powder - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS47,Kachari Powder - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS48,Yellow Sarson(Powder) - 250g,Powder Spices,,,0,Y,N,,,,,,,0,0
,PS49,Yellow Sarson(Powder) - 100g,Powder Spices,,,0,Y,N,,,,,,,0,0
,BS1,Kashmiri Aludam - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS2,Kashmiri Aludam - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS3,Kashmiri Aludam - 20g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS4,Chatpata Alu Dum - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS5,Chatpata Alu Dum - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS6,Achari Alu Dum - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS7,Achari Alu Dum - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS8,Biryani/Pulav - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS9,Biryani/Pulav - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS10,Biryani/Pulav - 20g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS11,Chat - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS12,Chat - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS13,Cholle - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS14,Cholle - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS15,Cholle - 20g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS16,Dal Taraka - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS17,Dal Taraka - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS18,Dhai Vada/Raita - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS19,Dhai Vada/Raita - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS20,Cool Drink/Juice - 250g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS21,Cool Drink/Juice - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS22,Muri - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS23,Muri - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS24,Muri - 20g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS25,Pani Puri (Amchur) - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS26,Pani Puri (Amchur) - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS27,Pani Puri (Imli) - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS28,Pani Puri (Imli) - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS29,Sambhar - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS30,Sambhar - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS31,Pav Bhaji - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS32,Pav Bhaji - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS33,Garlic Chutney - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS34,Garlic Chutney - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS35,Samosa/Aluchop - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS36,Samosa/Aluchop - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS37,Sabji - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS38,Sabji - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS39,Sabji - 20g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS40,Rajma/Channa - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS41,Rajma/Channa - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS42,Shahi Paneer - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS43,Shahi Paneer - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS44,Muglai/Kabab - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS45,Muglai/Kabab - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS46,Milk Masala - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS47,Milk Masala - 25gms,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS48,Jal Jeera - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS49,Kesariya Tea - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS50,Kesariya Tea - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS51,Kesariya Tea - 20g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS52,Premium Garam Masala - 100g,Blended Spices,,,0,Y,N,,,,,,,0,0
,BS53,Premium Garam Masala - 50g,Blended Spices,,,0,Y,N,,,,,,,0,0
