Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,,,0,44486,,0,0,Y,0,44486,0,0,West Bengal
,,,0,43896,,0,0,Y,0,43896,0,0,West Bengal
,,,0,43896,,0,0,Y,0,43896,0,0,West Bengal
,,,0,44486,,0,0,Y,0,44486,0,0,West Bengal
,,,0,44486,,0,0,Y,0,44486,0,0,West Bengal
,,,0,45666,,0,0,Y,0,45666,0,0,West Bengal
,,,0,45666,,0,0,Y,0,45666,0,0,West Bengal
,,,0,40400,,0,0,Y,0,40400,0,0,Odisha
,,,0,39400,,0,0,Y,0,39400,0,0,Odisha
,,,0,39400,,0,0,Y,0,39400,0,0,Odisha
,,,0,39400,,0,0,Y,0,39400,0,0,Odisha
,,,0,39400,,0,0,Y,0,39400,0,0,Odisha
,,,0,39400,,0,0,Y,0,39400,0,0,Odisha
,,,0,40400,,0,0,Y,0,40400,0,0,Odisha
,,,0,40400,,0,0,Y,0,40400,0,0,Odisha
,,,0,40120,,0,0,Y,0,40120,0,0,Assam
,,,0,38940,,0,0,Y,0,38940,0,0,Assam
,,,0,38350,,0,0,Y,0,38350,0,0,Assam
,,,0,38350,,0,0,Y,0,38350,0,0,Assam
,,,0,38350,,0,0,Y,0,38350,0,0,Assam
,,,0,38350,,0,0,Y,0,38350,0,0,Assam
,,,0,38350,,0,0,Y,0,38350,0,0,Assam
,,,0,38350,,0,0,Y,0,38350,0,0,Assam
,,,0,39884,,0,0,Y,0,39884,0,0,
,,,0,38704,,0,0,Y,0,38704,0,0,
,,,0,38114,,0,0,Y,0,38114,0,0,
,,,0,38114,,0,0,Y,0,38114,0,0,
,,,0,38114,,0,0,Y,0,38114,0,0,
,,,0,38114,,0,0,Y,0,38114,0,0,
,,,0,38114,,0,0,Y,0,38114,0,0,
,,,0,38114,,0,0,Y,0,38114,0,0,
,,,0,45666,,0,0,Y,0,45666,0,0,West Bengal
