yellow_card_no,customer_code,challan_no,challan_date,qty,qty_UOM
YE055720170501181201,C/0145112,431,2017-04-08,100,PPC
YE055720170501181347,C/0145112,1791,2017-04-21,200,PPC
YE055720170501181536,C/0145112,14,2017-04-04,200,PPC
YE055720170501181740,C/0145071,1234,2017-04-16,299,PPC
YE055720170501182140,C/0145071,2822,2017-04-28,200,PPC
YE055720170501212035,C/0089024,164,2017-04-07,150,PPC
YE055720170501212148,C/0089024,1773,2017-04-20,200,PPC
YE055720170501212821,C/0088854,119,2017-04-07,150,PPC
YE055720170501213037,C/0145108,2783,2017-04-24,200,PPC
YE055720170501213321,C/0145130,14,2017-04-04,400,PPC
YE055720170501213426,C/0145130,1773,2017-04-20,300,PPC
YE055720170501213620,C/0089019,608,2017-04-10,200,PPC
YE055720170501213745,C/0089019,2783,2017-04-27,200,PPC
YE055720170501220728,C/0089030,854,2017-04-12,150,PSC
YE055720170501220845,C/0089030,1514,2017-04-18,100,PPC
YE055720170501220944,C/0089030,2783,2017-04-26,200,PPC
YE055720170501221139,C/0145138,119,2017-04-04,150,PPC
YE055720170501221414,C/0145138,1791,2017-04-18,198,PPC
YE055720170501221915,C/0145145,609,2017-04-10,150,PPC
YE055720170501222047,C/0145145,1800,2017-04-21,400,PPC
YE055720170502073603,C/0089014,164,2017-04-05,150,PPC
YE055720170502073711,C/0089014,2371,2017-04-24,200,PPC
YE055720170502073943,C/0145055,75,2017-04-03,200,PPC
YE055720170502074101,C/0145055,1591,2017-04-18,200,PPC
YE055720170502074310,C/0145051,165,2017-04-06,100,PPC
YE055720170502074411,C/0145051,75,2017-04-06,65,PPC
YE055720170502074530,C/0145051,431,2017-04-09,100,PPC
YE055720170502074612,C/0145051,854,2017-04-12,100,PPC
YE055720170502074710,C/0145051,1514,2017-04-17,100,PPC
YE055720170502074822,C/0145051,1791,2017-04-21,100,PPC
YE055720170502074940,C/0145051,2761,2017-04-26,100,PPC
YE055720170502075106,C/0145089,431,2017-04-07,200,PPC
YE055720170502075200,C/0145089,1514,2017-04-17,100,PPC
YE055720170502075256,C/0145089,2371,2017-04-24,100,PPC
YE055720170502075604,C/0145089,3243,2017-04-29,100,PPC
YE055720170502075803,C/0145105,119,2017-04-06,100,PPC
YE055720170502075855,C/0145105,431,2017-04-08,135,PPC
YE055720170502075942,C/0145105,854,2017-04-12,150,PPC
YE055720170502080045,C/0145105,1591,2017-04-17,100,PPC
YE055720170502080143,C/0145105,1773,2017-04-20,200,PPC
YE055720170502080236,C/0145105,2761,2017-04-24,140,PPC
YE055720170502081041,C/0154249,459,2017-04-09,500,PPC
YE055720170502081145,C/0154249,1623,2017-04-19,400,PPC
YE055720170502081254,C/0154249,2793,2017-04-26,400,PPC
YE055720170502081428,C/0145082,479,2017-04-08,200,PPC
YE055720170502081543,C/0145082,459,2017-04-08,100,PPC
YE055720170502081635,C/0145082,854,2017-04-11,100,PPC
YE055720170502081726,C/0145082,1593,2017-04-17,100,PPC
YE055720170502081844,C/0145082,2761,2017-04-26,150,PPC
YE055720170502082031,C/0145082,3037,2017-04-29,100,PPC
YE055720170502082140,C/0145044,14,2017-04-04,100,PPC
YE055720170502082354,C/0145044,609,2017-04-09,97,PPC
YE055720170502082525,C/0145044,704,2017-04-10,100,PPC
YE055720170502082703,C/0089020,704,2017-04-11,150,PPC
YE055720170502082849,C/0089020,2873,2017-04-26,200,PPC
YE055720170502182835,C/0145071,1234,2017-04-12,299,PPC
YE055720170502183227,C/0145105,2761,2017-04-23,140,PPC
YE055720170503095727,C/0145105,119,2017-04-06,100,PPC
