Plant,route_name,Zone,Tranport mode,Truck Size,Frieght
Haldia,Kharagpur,WB1,TRUCK,7.5,5850.00
Haldia,Keranitola,WB1,TRUCK,7.5,5850.00
Haldia,Belda,WB1,TRUCK,7.5,5850.00
Haldia,Midnapur,WB1,TRUCK,7.5,5850.00
Haldia,Contai,WB1,TRUCK,7.5,5850.00
Haldia,Jhargram,WB1,TRUCK,7.5,5850.00
Haldia,Tamluk,WB1,TRUCK,7.5,5850.00
Haldia,Charabarh,WB1,TRUCK,7.5,5850.00
Haldia,Panskura,WB1,TRUCK,7.5,5850.00
Haldia,Nandakumar,WB1,TRUCK,7.5,5850.00
Haldia,Ghatal,WB1,TRUCK,7.5,5850.00
Haldia,Debra,WB1,TRUCK,7.5,5850.00
Haldia,Daspur,WB1,TRUCK,7.5,5850.00
Haldia,East Midnapur,WB1,TRUCK,7.5,5850.00
Haldia,Asari,WB1,TRUCK,7.5,5850.00
Haldia,Haldia,WB1,TRUCK,7.5,5850.00
Haldia,Nandkumar,WB1,TRUCK,7.5,5850.00
Haldia,Purba Mednipur,WB1,TRUCK,7.5,5850.00
Haldia,Nasaratpur,WB2,TRUCK,7.5,8100.00
Haldia,Sonamukhi,WB2,TRUCK,7.5,8100.00
Haldia,Raipur,WB2,TRUCK,7.5,8100.00
Haldia,Bishnupur,WB2,TRUCK,7.5,8100.00
Haldia,Katwa,WB2,TRUCK,7.5,8100.00
Haldia,Bankura,WB2,TRUCK,7.5,8100.00
Haldia,Howrah,WB2,TRUCK,7.5,8100.00
Haldia,Amta,WB2,TRUCK,7.5,8100.00
Haldia,Domjur,WB2,TRUCK,7.5,8100.00
Haldia,Uluberia,WB2,TRUCK,7.5,8100.00
Haldia,Champadanga,WB2,TRUCK,7.5,8100.00
Haldia,Bandel,WB2,TRUCK,7.5,8100.00
Haldia,Baidyabati,WB2,TRUCK,7.5,8100.00
Haldia,Tarakeswar,WB2,TRUCK,7.5,8100.00
Haldia,Nalikul,WB2,TRUCK,7.5,8100.00
Haldia,Kamarkundu,WB2,TRUCK,7.5,8100.00
Haldia,Janai Road Station,WB2,TRUCK,7.5,8100.00
Haldia,Chanditala,WB2,TRUCK,7.5,8100.00
Haldia,Khanakul,WB2,TRUCK,7.5,8100.00
Haldia,Hind Motor,WB2,TRUCK,7.5,8100.00
Haldia,Pandua,WB2,TRUCK,7.5,8100.00
Haldia,Hooghly,WB2,TRUCK,7.5,8100.00
